time,open,high,low,close,volume,ticker
2019-01-02,7860,7860,7680,7750,1103106,ACB
2019-01-03,6980,7730,6980,7470,1956382,ACB
2019-01-04,7430,7570,7330,7520,2771983,ACB
2019-01-07,7680,7680,7570,7620,1305819,ACB
2019-01-08,8330,8330,7570,7570,846226,ACB
2019-01-09,7590,7730,7570,7700,2196358,ACB
2019-01-10,7700,7730,7680,7680,1378687,ACB
2019-01-11,7700,7730,7650,7680,1250077,ACB
2019-01-14,7650,7680,7620,7620,937155,ACB
2019-01-15,7480,7730,7040,7730,901146,ACB
2019-01-16,7730,7780,7650,7650,509354,ACB
2019-01-17,7680,7730,7650,7680,737519,ACB
2019-01-18,7700,7700,7540,7590,1412966,ACB
2019-01-21,7620,7960,7620,7840,2079830,ACB
2019-01-22,7890,7910,7730,7730,1845725,ACB
2019-01-23,7700,7750,7680,7730,1160094,ACB
2019-01-24,7750,7840,7700,7750,1743450,ACB
2019-01-25,7910,7910,7730,7750,836534,ACB
2019-01-28,7750,7780,7430,7680,997088,ACB
2019-01-29,7650,7700,7590,7700,1091518,ACB
2019-01-30,8230,8230,7700,7780,1565464,ACB
2019-01-31,7860,7910,7780,7810,1674668,ACB
2019-02-01,7810,7860,7780,7840,781100,ACB
2019-02-11,7910,8210,7860,8020,1713857,ACB
2019-02-12,8020,8119,8020,8100,2059630,ACB
2019-02-13,8119,8160,8050,8100,2093177,ACB
2019-02-14,8100,8100,7990,7990,1357835,ACB
2019-02-15,7990,8070,7960,8020,2176902,ACB
2019-02-18,8020,8100,8020,8070,1908779,ACB
2019-02-19,8100,8100,8020,8050,2754758,ACB
2019-02-20,8050,8100,8020,8070,1693486,ACB
2019-02-21,8070,8160,7990,7990,2970459,ACB
2019-02-22,8020,8180,7960,8100,3974330,ACB
2019-02-25,8160,8330,8100,8230,3874034,ACB
2019-02-26,8180,8290,8119,8180,2277127,ACB
2019-02-27,8180,8210,8100,8119,1544839,ACB
2019-02-28,8180,8180,7890,7890,3793504,ACB
2019-03-01,7910,7990,7840,7960,1478830,ACB
2019-03-04,7960,8100,7950,8070,3120806,ACB
2019-03-05,8070,8160,7990,8050,2465893,ACB
2019-03-06,8020,8070,7960,8050,1178516,ACB
2019-03-07,8070,8160,8050,8100,3301746,ACB
2019-03-08,8070,8119,8020,8050,1416810,ACB
2019-03-11,8050,8119,8020,8070,1032198,ACB
2019-03-12,8100,8210,8050,8210,2504257,ACB
2019-03-13,8260,8420,8210,8330,5473410,ACB
2019-03-14,8330,8500,8320,8370,2333220,ACB
2019-03-15,8390,8450,8320,8420,2649931,ACB
2019-03-18,8450,8550,8420,8470,3739699,ACB
2019-03-19,8500,8500,8290,8320,2828856,ACB
2019-03-20,8330,8330,8160,8230,3143264,ACB
2019-03-21,8230,8330,8070,8070,2939770,ACB
2019-03-22,8070,8160,8070,8100,1819172,ACB
2019-03-25,8070,8070,7950,7990,2275202,ACB
2019-03-26,8020,8070,7990,8050,1540206,ACB
2019-03-27,8070,8119,8020,8070,856984,ACB
2019-03-28,8070,8100,8020,8050,1366727,ACB
2019-03-29,8050,8100,8020,8050,1915257,ACB
2019-04-01,8050,8100,8050,8050,751744,ACB
2019-04-02,8100,8160,8050,8050,1184570,ACB
2019-04-03,8100,8100,7950,7990,1394796,ACB
2019-04-04,7950,8050,7950,8020,1091143,ACB
2019-04-05,8020,8070,7990,8020,767879,ACB
2019-04-08,8020,8210,8020,8180,2224599,ACB
2019-04-09,8180,8230,8100,8100,1801683,ACB
2019-04-10,8050,8100,8020,8020,868574,ACB
2019-04-11,8119,8119,7990,8050,905666,ACB
2019-04-12,8020,8050,7960,8020,1051329,ACB
2019-04-16,8020,8020,7910,7960,1328836,ACB
2019-04-17,7990,8050,7950,7950,688254,ACB
2019-04-18,7780,7960,7780,7890,1019057,ACB
2019-04-19,7910,7950,7860,7860,599302,ACB
2019-04-22,7890,7890,7730,7780,1362678,ACB
2019-04-23,7810,7950,7730,7860,1651748,ACB
2019-04-24,7890,8020,7840,7990,1062284,ACB
2019-04-25,7990,8070,7950,7960,745480,ACB
2019-04-26,7960,8020,7950,7990,1123078,ACB
2019-05-02,8020,8050,7890,7890,1134878,ACB
2019-05-03,7910,7960,7910,7960,1115126,ACB
2019-05-06,7960,7960,7810,7810,1381176,ACB
2019-05-07,7960,7960,7750,7840,869471,ACB
2019-05-08,7780,7860,7730,7840,1019991,ACB
2019-05-09,7810,7840,7730,7730,603773,ACB
2019-05-10,7730,7810,7700,7780,646916,ACB
2019-05-13,7810,7860,7750,7750,913337,ACB
2019-05-14,7750,7780,7680,7730,1601854,ACB
2019-05-15,7730,7890,7730,7840,1290890,ACB
2019-05-16,7860,7860,7750,7780,1467241,ACB
2019-05-17,7780,7810,7750,7750,852070,ACB
2019-05-20,7780,7840,7730,7780,675438,ACB
2019-05-21,7810,7890,7780,7810,1385291,ACB
2019-05-22,7810,7950,7810,7860,1274690,ACB
2019-05-23,7950,7960,7780,7840,630966,ACB
2019-05-24,7220,7840,7220,7750,891367,ACB
2019-05-27,7730,7750,7700,7700,911886,ACB
2019-05-28,7700,7750,7680,7680,941132,ACB
2019-05-29,7680,7750,7620,7750,1083726,ACB
2019-05-30,7730,7750,7700,7730,725399,ACB
2019-05-31,7700,7730,7620,7700,1025615,ACB
2019-06-03,7620,7700,7590,7620,1150302,ACB
2019-06-04,7620,7700,7590,7590,870018,ACB
2019-06-05,7590,7680,7590,7680,1056785,ACB
2019-06-06,7680,7680,7540,7570,912088,ACB
2019-06-07,7570,7650,7570,7620,282088,ACB
2019-06-10,7620,7680,7590,7590,463155,ACB
2019-06-11,7590,7620,7590,7590,563995,ACB
2019-06-12,7590,7620,7570,7570,557708,ACB
2019-06-13,7570,7620,7570,7590,846792,ACB
2019-06-14,7590,7700,7590,7620,1047441,ACB
2019-06-17,7620,7680,7590,7620,896432,ACB
2019-06-18,7620,7700,7620,7680,769216,ACB
2019-06-19,7680,7730,7650,7680,506197,ACB
2019-06-20,7680,7860,7650,7860,1436398,ACB
2019-06-21,7860,7960,7810,7840,826692,ACB
2019-06-24,7840,7890,7810,7840,1421227,ACB
2019-06-25,7840,7860,7700,7750,1331315,ACB
2019-06-26,7700,7750,7700,7700,389568,ACB
2019-06-27,7700,7730,7590,7590,873525,ACB
2019-06-28,7590,7680,7570,7680,670700,ACB
2019-07-01,7810,7810,7700,7750,640739,ACB
2019-07-02,7750,7750,7680,7680,388434,ACB
2019-07-03,7700,7730,7620,7650,643573,ACB
2019-07-04,7680,7780,7680,7750,925764,ACB
2019-07-05,7780,7810,7730,7750,799873,ACB
2019-07-08,7750,7810,7680,7700,428679,ACB
2019-07-09,7700,7910,7700,7910,2778824,ACB
2019-07-10,7910,7960,7860,7860,1121395,ACB
2019-07-11,7860,8070,7860,8020,2082872,ACB
2019-07-12,8050,8070,7960,7990,888185,ACB
2019-07-15,7990,8020,7950,7960,933272,ACB
2019-07-16,7960,8070,7960,8020,1196262,ACB
2019-07-17,8020,8210,8020,8160,2508774,ACB
2019-07-18,8070,8180,8020,8180,1601573,ACB
2019-07-19,8500,8500,8180,8290,2877999,ACB
2019-07-22,9110,9110,8160,8230,1903199,ACB
2019-07-23,8230,8260,8160,8180,1951764,ACB
2019-07-24,8180,8260,8050,8160,3961188,ACB
2019-07-25,8220,8330,8189,8189,2097782,ACB
2019-07-26,8220,8220,8050,8080,1052101,ACB
2019-07-29,8010,8080,7900,7950,1258626,ACB
2019-07-30,7880,8050,7880,7900,1100105,ACB
2019-07-31,7980,7980,7850,7880,893714,ACB
2019-08-01,7850,7950,7740,7780,1903052,ACB
2019-08-02,7780,7810,7600,7700,1774559,ACB
2019-08-05,7700,7700,7530,7600,2538864,ACB
2019-08-06,7080,7560,7080,7490,1820835,ACB
2019-08-07,7530,7600,7460,7460,1031673,ACB
2019-08-08,7110,7600,6910,7600,1066927,ACB
2019-08-09,7390,7700,7390,7560,726110,ACB
2019-08-12,7600,7600,7530,7600,578401,ACB
2019-08-13,7560,7600,7460,7560,574727,ACB
2019-08-14,7600,7670,7490,7490,906910,ACB
2019-08-15,7490,7490,7360,7490,1470311,ACB
2019-08-16,7560,7640,7430,7560,1536110,ACB
2019-08-19,7600,7700,7560,7600,1209980,ACB
2019-08-20,7640,7700,7640,7670,1318890,ACB
2019-08-21,7670,7740,7640,7700,2791144,ACB
2019-08-22,7780,7880,7740,7850,1653260,ACB
2019-08-23,7850,7880,7740,7810,815330,ACB
2019-08-26,7780,7780,7640,7780,1015427,ACB
2019-08-27,7740,7810,7700,7780,1016097,ACB
2019-08-28,7740,7780,7670,7670,513225,ACB
2019-08-29,7700,7740,7600,7640,636900,ACB
2019-08-30,7700,7780,7640,7670,544010,ACB
2019-09-03,7670,7740,7560,7640,484897,ACB
2019-09-04,7640,7640,7530,7600,365320,ACB
2019-09-05,7640,7640,7560,7600,625327,ACB
