time,open,high,low,close,volume,ticker
2019-01-02,22840,22840,20890,22290,32500,BCM
2019-01-03,21360,21360,20430,20430,12700,BCM
2019-01-04,20890,21080,20890,21080,4700,BCM
2019-01-07,19870,21080,18480,20980,222600,BCM
2019-01-08,21170,21170,20890,21080,6900,BCM
2019-01-09,21550,21550,21550,21550,100,BCM
2019-01-10,19500,21260,19500,21260,3500,BCM
2019-01-11,19500,21080,18570,21080,2200,BCM
2019-01-14,20430,20800,19500,20800,3800,BCM
2019-01-15,21360,21360,20610,20610,500,BCM
2019-01-16,19500,20800,19500,20800,2100,BCM
2019-01-17,20240,20710,20240,20710,2000,BCM
2019-01-18,19320,20800,19320,20800,1300,BCM
2019-01-21,21450,21450,19970,20430,4400,BCM
2019-01-22,21170,21170,21170,21170,1100,BCM
2019-01-23,20140,20890,19970,20890,3100,BCM
2019-01-24,20800,21080,19970,21080,1400,BCM
2019-01-25,20430,20520,20430,20520,4400,BCM
2019-01-28,21170,21170,21170,21170,1000,BCM
2019-01-29,20430,20890,20330,20890,3500,BCM
2019-01-30,20520,20520,20520,20520,0,BCM
2019-01-31,20430,21360,20430,21360,1114,BCM
2019-02-01,21720,21720,20610,20710,11200,BCM
2019-02-11,21720,21720,21720,21720,1200,BCM
2019-02-12,21820,23120,18480,21360,10502,BCM
2019-02-13,21080,21910,20980,21910,16200,BCM
2019-02-14,21360,21630,20430,21630,21300,BCM
2019-02-15,20890,20890,20890,20890,100,BCM
2019-02-18,20800,21550,20520,21260,30606,BCM
2019-02-19,21170,22750,21170,21820,51230,BCM
2019-02-20,22010,22290,22010,22010,6206,BCM
2019-02-21,21910,21910,18750,21910,5300,BCM
2019-02-22,21910,22290,18660,22290,3100,BCM
2019-02-25,21820,22290,18940,22010,7800,BCM
2019-02-26,22750,24140,19030,23210,312700,BCM
2019-02-27,24240,24240,23210,23680,301320,BCM
2019-02-28,24140,24330,23680,23680,4500,BCM
2019-03-01,23210,24050,23210,24050,6850,BCM
2019-03-04,23210,24140,22750,23950,24800,BCM
2019-03-05,23210,23680,23210,23680,2500,BCM
2019-03-06,23210,23400,19970,23030,3810,BCM
2019-03-07,23400,23400,23120,23120,3614,BCM
2019-03-08,23400,23590,19680,23590,900,BCM
2019-03-11,23590,20060,20060,23590,3,BCM
2019-03-12,22470,23590,22470,23590,4617,BCM
2019-03-13,22100,22660,19680,22010,7900,BCM
2019-03-14,22010,23590,21720,22100,14000,BCM
2019-03-15,22290,22290,22290,22290,400,BCM
2019-03-18,22660,22660,22370,22560,3000,BCM
2019-03-19,22290,22290,21550,21550,4100,BCM
2019-03-20,22190,23120,18750,23030,14506,BCM
2019-03-21,22370,23120,22370,22470,9700,BCM
2019-03-22,23490,23490,21910,22750,46600,BCM
2019-03-25,22750,23030,21910,21910,8900,BCM
2019-03-26,22750,22750,22660,22750,9000,BCM
2019-03-27,22660,23210,22290,22750,17200,BCM
2019-03-28,23030,23590,22750,23590,37300,BCM
2019-03-29,23590,24600,23210,24600,35300,BCM
2019-04-01,24600,24600,23860,23950,26502,BCM
2019-04-02,24050,24330,23860,24050,30600,BCM
2019-04-03,23210,23210,23210,23210,8100,BCM
2019-04-04,22290,23680,22290,23680,1000,BCM
2019-04-05,23210,23210,23210,23210,200,BCM
2019-04-08,22370,22370,22370,22370,7700,BCM
2019-04-09,22290,22290,22290,22290,500,BCM
2019-04-10,22290,22370,22290,22290,3000,BCM
2019-04-11,22290,22290,22010,22010,6000,BCM
2019-04-12,22840,22840,21820,21820,1100,BCM
2019-04-16,21910,21910,21820,21820,3000,BCM
2019-04-17,21820,21820,21820,21820,0,BCM
2019-04-18,21820,21820,21820,21820,300,BCM
2019-04-19,21910,21910,21450,21450,10159,BCM
2019-04-22,21450,22660,20710,22660,12006,BCM
2019-04-23,20430,21910,19870,21910,30810,BCM
2019-04-24,21360,21820,20980,21820,15712,BCM
2019-04-25,21820,22290,21820,22290,23906,BCM
2019-04-26,22190,22370,21820,22370,13700,BCM
2019-05-02,21630,22290,21630,22290,3220,BCM
2019-05-03,21820,22010,21820,22010,35007,BCM
2019-05-06,21820,21820,21360,21360,11200,BCM
2019-05-07,21360,21360,21080,21080,6714,BCM
2019-05-08,20430,20430,20240,20430,11101,BCM
2019-05-09,20430,20430,20330,20330,2801,BCM
2019-05-10,20240,20520,20240,20520,1100,BCM
2019-05-13,20430,20800,20240,20800,2671,BCM
2019-05-14,20430,20430,20430,20430,10050,BCM
2019-05-15,20330,20800,20330,20430,25800,BCM
2019-05-16,20140,20140,20140,20140,171,BCM
2019-05-17,20430,21360,20140,21260,7000,BCM
2019-05-20,20890,20890,20060,20890,2200,BCM
2019-05-21,20140,21360,20140,21360,11810,BCM
2019-05-22,21360,21550,21170,21360,7100,BCM
2019-05-23,21360,21360,19970,21360,74300,BCM
2019-05-24,21260,21260,21260,21260,100,BCM
2019-05-27,20520,21260,20430,21260,11300,BCM
2019-05-28,20520,21360,20520,21360,15400,BCM
2019-05-29,21080,21260,20800,21080,7800,BCM
2019-05-30,21080,21450,20890,21450,54500,BCM
2019-05-31,21360,22100,21080,21630,25200,BCM
2019-06-03,21260,21360,21170,21170,406,BCM
2019-06-04,21360,21360,20890,21260,8800,BCM
2019-06-05,21080,21260,20610,21260,5310,BCM
2019-06-06,20800,20890,20610,20610,5501,BCM
2019-06-07,20430,21360,20430,21360,26600,BCM
2019-06-10,21360,22750,21360,22190,49218,BCM
2019-06-11,22370,24880,22370,24330,464668,BCM
2019-06-12,24240,25530,24140,24790,176948,BCM
2019-06-13,24880,24880,24140,24420,117900,BCM
2019-06-14,24330,24330,23210,23300,159400,BCM
2019-06-17,23590,23590,22940,23300,20925,BCM
2019-06-18,23680,23680,22290,22660,112271,BCM
2019-06-19,23210,23680,22470,23210,21300,BCM
2019-06-20,23680,23950,23030,23680,38300,BCM
2019-06-21,23680,24790,23300,24050,57820,BCM
2019-06-24,23770,23770,23210,23590,63400,BCM
2019-06-25,23590,23590,23120,23120,15550,BCM
2019-06-26,23210,23300,23210,23210,72911,BCM
2019-06-27,23310,23310,22450,23210,3200,BCM
2019-06-28,23310,23690,22930,23690,22500,BCM
2019-07-01,23310,23600,22930,23210,15400,BCM
2019-07-02,22930,23310,22350,22840,129900,BCM
2019-07-03,23030,23030,22550,22550,17000,BCM
2019-07-04,24540,24540,23030,23600,12800,BCM
2019-07-05,23970,23970,22930,23310,39100,BCM
2019-07-08,23310,23690,22840,22840,22200,BCM
