time,open,high,low,close,volume,ticker
2019-01-02,22960,22960,22320,22360,805700,BID
2019-01-03,22360,22560,21350,21350,1107500,BID
2019-01-04,21020,21320,20550,21050,1457300,BID
2019-01-07,21350,22020,21350,21550,806060,BID
2019-01-08,21760,21760,21290,21350,558540,BID
2019-01-09,21550,22060,21420,22020,1075730,BID
2019-01-10,22020,22090,21690,21690,410690,BID
2019-01-11,21690,21890,21250,21290,941940,BID
2019-01-14,21290,21590,20990,21290,755920,BID
2019-01-15,21190,21890,21190,21690,580710,BID
2019-01-16,21820,21860,21490,21490,363680,BID
2019-01-17,21490,21620,21290,21320,297560,BID
2019-01-18,21320,21550,21120,21150,509140,BID
2019-01-21,21350,22260,21150,21920,1207560,BID
2019-01-22,21960,22090,21820,21860,563940,BID
2019-01-23,21620,21920,21420,21820,457760,BID
2019-01-24,21720,21920,21690,21690,579540,BID
2019-01-25,21820,21820,21350,21390,570980,BID
2019-01-28,21390,21590,21220,21290,545190,BID
2019-01-29,21290,21290,21050,21150,635890,BID
2019-01-30,21290,21520,21090,21150,429410,BID
2019-01-31,21490,21490,21020,21020,678130,BID
2019-02-01,20990,21250,20950,21090,537050,BID
2019-02-11,21250,21520,21220,21320,631710,BID
2019-02-12,21390,21820,21390,21650,1395780,BID
2019-02-13,21720,21760,21520,21690,1557810,BID
2019-02-14,21690,21720,21590,21620,1018550,BID
2019-02-15,21590,22560,21420,22120,1622530,BID
2019-02-18,22360,22490,22160,22360,955540,BID
2019-02-19,22360,22520,21960,21960,1143130,BID
2019-02-20,21890,23290,21790,22690,2361110,BID
2019-02-21,22860,23120,22690,22860,2157870,BID
2019-02-22,22820,23160,22690,22690,1459730,BID
2019-02-25,23020,23020,22490,22690,1687500,BID
2019-02-26,22490,22690,22360,22420,1409740,BID
2019-02-27,22420,22660,22360,22420,749060,BID
2019-02-28,22420,22520,21690,21690,1793480,BID
2019-03-01,21760,22090,21760,21920,1153130,BID
2019-03-04,22090,22520,22020,22420,918340,BID
2019-03-05,22160,23560,22160,23090,4215640,BID
2019-03-06,23090,23290,22960,23190,1601660,BID
2019-03-07,23360,23520,23160,23290,1702650,BID
2019-03-08,22990,23160,22620,22690,1808960,BID
2019-03-11,22760,22760,22320,22460,1137250,BID
2019-03-12,22760,23690,22560,23690,1690500,BID
2019-03-13,23560,23990,23490,23760,2860920,BID
2019-03-14,23760,24490,23490,24160,2651040,BID
2019-03-15,24160,25030,23960,24820,3180240,BID
2019-03-18,24820,25090,24620,24890,2925810,BID
2019-03-19,24790,24890,24360,24420,2819110,BID
2019-03-20,24120,24360,23690,24090,2700620,BID
2019-03-21,24190,24460,23220,23220,2239650,BID
2019-03-22,23620,23820,23220,23420,1877120,BID
2019-03-25,22760,23360,22360,23020,2092900,BID
2019-03-26,23290,23420,22820,22890,1042090,BID
2019-03-27,23260,23420,22890,23290,1236550,BID
2019-03-28,22990,23920,22990,23760,2196570,BID
2019-03-29,23760,24020,23760,23890,1654790,BID
2019-04-01,23890,24220,23560,23690,909820,BID
2019-04-02,24020,24020,23220,23220,1453530,BID
2019-04-03,23220,24090,22990,23820,1895710,BID
2019-04-04,24020,24020,23460,23560,1058540,BID
2019-04-05,23560,23820,23220,23390,737650,BID
2019-04-08,23220,23720,23220,23690,1042660,BID
2019-04-09,23690,24160,23690,23860,2081540,BID
2019-04-10,23860,23890,23490,23490,522520,BID
2019-04-11,23560,23690,23320,23460,643960,BID
2019-04-12,23420,23490,23160,23190,894410,BID
2019-04-16,23090,23760,22820,23690,1404520,BID
2019-04-17,23690,23690,23220,23220,852450,BID
2019-04-18,23220,23620,23120,23220,1016060,BID
2019-04-19,23220,23490,23160,23260,293870,BID
2019-04-22,23260,23260,22660,22820,687460,BID
2019-04-23,23090,23090,22660,22820,1005740,BID
2019-04-24,23020,23220,22890,23090,538100,BID
2019-04-25,23090,23360,23020,23020,464620,BID
2019-04-26,23020,23290,23020,23220,484200,BID
2019-05-02,23360,23360,23020,23020,483460,BID
2019-05-03,23020,23220,22820,22820,555330,BID
2019-05-06,22460,22620,22020,22090,1220260,BID
2019-05-07,22220,22620,21960,22090,949150,BID
2019-05-08,21820,22020,21590,21590,1127910,BID
2019-05-09,21790,21890,20690,20750,1937960,BID
2019-05-10,21020,21490,20950,21350,1098030,BID
2019-05-13,21350,21890,21350,21820,778440,BID
2019-05-14,21650,21760,21350,21620,1091640,BID
2019-05-15,21760,22090,21550,21960,1460060,BID
2019-05-16,21990,22020,21650,21760,776200,BID
2019-05-17,21820,21820,21350,21450,938600,BID
2019-05-20,21420,21960,21420,21820,960860,BID
2019-05-21,21820,22190,21760,22060,1716340,BID
2019-05-22,22160,22420,22060,22160,1262730,BID
2019-05-23,22020,22290,21760,22290,795270,BID
2019-05-24,22090,22190,21690,21690,1510920,BID
2019-05-27,21690,21820,21620,21760,526030,BID
2019-05-28,21690,21890,21450,21550,881610,BID
2019-05-29,21550,21650,21320,21350,896960,BID
2019-05-30,21490,21550,21220,21220,671830,BID
2019-05-31,21120,21290,20990,21020,914150,BID
2019-06-03,20950,21020,20420,20420,1299050,BID
2019-06-04,20420,21350,20390,21350,867040,BID
2019-06-05,21350,21490,20950,20950,482730,BID
2019-06-06,20950,21150,20620,20890,329600,BID
2019-06-07,20890,21150,20890,21150,459310,BID
2019-06-10,21220,21420,21150,21150,471530,BID
2019-06-11,21220,21350,21090,21290,584390,BID
2019-06-12,21150,21290,20990,21020,351310,BID
2019-06-13,20950,21190,20950,21020,289140,BID
2019-06-14,21150,21520,21020,21450,1589620,BID
2019-06-17,21490,21720,21320,21420,693710,BID
2019-06-18,21290,21420,21150,21350,273680,BID
2019-06-19,21350,21620,21320,21350,461820,BID
2019-06-20,21350,21820,21290,21790,1142380,BID
