time,open,high,low,close,volume,ticker
2019-01-02,79770,79770,78110,78110,87080,BVH
2019-01-03,79420,79860,77590,78290,55310,BVH
2019-01-04,78290,78290,75480,77760,96940,BVH
2019-01-07,78550,79690,76970,77760,92970,BVH
2019-01-08,77760,77760,77230,77410,36610,BVH
2019-01-09,75480,78990,75480,78110,100610,BVH
2019-01-10,77320,79080,77320,78550,49800,BVH
2019-01-11,79330,79770,78550,79330,32020,BVH
2019-01-14,79250,79250,77230,77670,26560,BVH
2019-01-15,77670,78470,77320,77850,42400,BVH
2019-01-16,78900,78990,77940,78990,41990,BVH
2019-01-17,78990,81090,78990,80650,51470,BVH
2019-01-18,79080,80740,79080,80650,38310,BVH
2019-01-21,80740,81180,79860,80740,22660,BVH
2019-01-22,81090,81090,78990,78990,57790,BVH
2019-01-23,80650,80650,78990,79250,47870,BVH
2019-01-24,79860,80300,78990,79250,33490,BVH
2019-01-25,79250,80740,79250,80650,21490,BVH
2019-01-28,82410,82410,80740,81710,39180,BVH
2019-01-29,82060,82850,80830,82850,51580,BVH
2019-01-30,79510,84960,79510,84690,125610,BVH
2019-01-31,85130,85130,80920,80920,79540,BVH
2019-02-01,84250,84250,81880,83990,54770,BVH
2019-02-11,83380,83990,83380,83820,64480,BVH
2019-02-12,83820,83820,83380,83460,77860,BVH
2019-02-13,83820,86010,82940,84690,111960,BVH
2019-02-14,85130,86450,84520,84520,122040,BVH
2019-02-15,85130,85750,83380,83820,88230,BVH
2019-02-18,83820,84960,80920,81620,91670,BVH
2019-02-19,82060,83290,81710,82670,30770,BVH
2019-02-20,82670,84690,82500,84250,88130,BVH
2019-02-21,84250,84250,83550,83730,114100,BVH
2019-02-22,84250,85920,83380,84690,147330,BVH
2019-02-25,84690,85480,83020,83290,180880,BVH
2019-02-26,83290,84170,81620,81790,114570,BVH
2019-02-27,82500,83820,81880,83550,74070,BVH
2019-02-28,83550,84080,82150,82500,153040,BVH
2019-03-01,82940,82940,81880,82230,56320,BVH
2019-03-04,82230,84960,82230,84690,119450,BVH
2019-03-05,83460,86360,83460,86280,300850,BVH
2019-03-06,86280,86450,85400,86010,73310,BVH
2019-03-07,86190,86450,84690,84780,92910,BVH
