time,open,high,low,close,volume,ticker
2019-01-02,12850,12990,12690,12690,2420340,CTG
2019-01-03,12690,12820,12050,12080,5513360,CTG
2019-01-04,12050,12390,11820,12250,3804290,CTG
2019-01-07,12550,12550,12120,12120,3982660,CTG
2019-01-08,12180,12180,11880,11950,5636280,CTG
2019-01-09,12020,12490,11950,12250,5954880,CTG
2019-01-10,12280,12790,12220,12590,7326460,CTG
2019-01-11,12550,12850,12490,12550,4025750,CTG
2019-01-14,12420,12720,12390,12550,4808180,CTG
2019-01-15,12550,12750,12520,12620,3074470,CTG
2019-01-16,12690,12750,12420,12490,3652310,CTG
2019-01-17,12490,12620,12320,12320,3172300,CTG
2019-01-18,12420,12420,12150,12150,3403750,CTG
2019-01-21,12250,12990,12220,12990,11448210,CTG
2019-01-22,13150,13420,12990,13050,9145450,CTG
2019-01-23,12990,13390,12890,13320,6937940,CTG
2019-01-24,13350,13690,13290,13650,8813040,CTG
2019-01-25,13620,13750,13390,13490,5976710,CTG
2019-01-28,13490,13650,13420,13590,4441160,CTG
2019-01-29,13520,13890,13420,13850,6598310,CTG
2019-01-30,13850,13920,13650,13650,2573630,CTG
2019-01-31,13720,13790,13090,13150,9039900,CTG
2019-02-01,13020,13450,13020,13420,3635060,CTG
2019-02-11,13750,13950,13550,13820,3647470,CTG
2019-02-12,13820,14190,13750,13920,7612990,CTG
2019-02-13,13890,14190,13850,13920,7588170,CTG
2019-02-14,13950,14090,13890,13920,5036130,CTG
2019-02-15,13820,14090,13750,13890,4246880,CTG
2019-02-18,13950,14150,13890,13950,6827190,CTG
2019-02-19,13920,14050,13690,13690,8892610,CTG
2019-02-20,13690,13950,13650,13750,5477410,CTG
2019-02-21,13790,13790,13550,13620,7146910,CTG
2019-02-22,13620,14150,13490,14090,13187550,CTG
2019-02-25,14350,14420,14220,14220,5931030,CTG
2019-02-26,14190,14320,14020,14250,6554030,CTG
2019-02-27,14320,14320,14090,14120,5029720,CTG
2019-02-28,14120,14190,13790,13890,8048820,CTG
2019-03-01,13990,13990,13790,13890,4475980,CTG
2019-03-04,13950,14250,13920,14150,6800970,CTG
2019-03-05,14150,14490,14050,14190,7944430,CTG
2019-03-06,14220,14290,14090,14220,3602700,CTG
2019-03-07,14350,14490,14250,14350,8034740,CTG
2019-03-08,14220,14350,14120,14150,5363050,CTG
2019-03-11,14190,14220,14020,14090,3180430,CTG
2019-03-12,14220,14760,14020,14760,9098570,CTG
2019-03-13,14890,15190,14760,15060,14616340,CTG
2019-03-14,15020,15190,14920,15020,5173620,CTG
2019-03-15,14890,15290,14820,15160,8573740,CTG
2019-03-18,15290,15660,15260,15620,10114160,CTG
2019-03-19,15620,15620,15320,15420,7499460,CTG
2019-03-20,15290,15460,15060,15360,9015900,CTG
2019-03-21,15360,15420,14760,14760,7177690,CTG
2019-03-22,14920,15090,14720,15020,6185060,CTG
2019-03-25,14690,14820,14450,14790,7191300,CTG
2019-03-26,14990,15120,14820,14920,2997150,CTG
2019-03-27,15020,15220,14890,15020,3367730,CTG
2019-03-28,14890,15190,14890,15120,2594400,CTG
2019-03-29,15190,15220,14960,14990,4161570,CTG
2019-04-01,15060,15060,14790,14860,2773610,CTG
2019-04-02,15020,15060,14690,14690,2530940,CTG
2019-04-03,14590,14660,14420,14560,5020300,CTG
2019-04-04,14760,14890,14490,14690,2028650,CTG
2019-04-05,14760,14860,14620,14620,2353340,CTG
2019-04-08,14620,14890,14590,14890,2617240,CTG
2019-04-09,14960,15090,14790,14790,3894020,CTG
2019-04-10,14620,14790,14590,14620,2240010,CTG
2019-04-11,14620,14860,14590,14660,2063740,CTG
2019-04-12,14620,14720,14590,14590,1535700,CTG
2019-04-16,14420,14490,14220,14390,3150240,CTG
2019-04-17,14450,14590,14320,14320,2156930,CTG
2019-04-18,14250,14350,13950,14020,3812000,CTG
2019-04-19,14120,14190,13890,13890,2009050,CTG
2019-04-22,13890,14020,13650,13690,2309880,CTG
2019-04-23,13820,14150,13690,13920,2447700,CTG
2019-04-24,14090,14390,14020,14290,2446780,CTG
2019-04-25,14220,14290,14050,14050,1295490,CTG
2019-04-26,14050,14220,14020,14190,1447680,CTG
2019-05-02,14220,14220,13950,14020,1919560,CTG
2019-05-03,13950,14120,13920,13950,1724730,CTG
2019-05-06,13750,13820,13590,13650,2472430,CTG
2019-05-07,13690,13890,13520,13620,1493980,CTG
2019-05-08,13450,13650,13420,13650,1787060,CTG
2019-05-09,13620,13750,13390,13420,1996910,CTG
2019-05-10,13490,13690,13450,13550,1696620,CTG
2019-05-13,13620,13920,13550,13650,1929660,CTG
2019-05-14,13520,13790,13520,13720,2101030,CTG
2019-05-15,13790,14120,13790,14120,3676840,CTG
2019-05-16,14120,14250,14020,14090,2446250,CTG
2019-05-17,14090,14250,14020,14150,2576280,CTG
2019-05-20,14150,14350,14090,14250,2854020,CTG
2019-05-21,14250,14350,14150,14190,2301740,CTG
2019-05-22,14390,14490,14190,14390,4998510,CTG
2019-05-23,14350,14420,14220,14350,1878120,CTG
2019-05-24,14250,14350,14150,14150,2200020,CTG
2019-05-27,14120,14190,14020,14150,1710820,CTG
2019-05-28,14150,14150,13950,14020,2024820,CTG
2019-05-29,13950,13990,13790,13790,2326330,CTG
2019-05-30,13750,13920,13690,13790,1569920,CTG
2019-05-31,13850,13850,13550,13550,2022410,CTG
2019-06-03,13420,13590,13290,13290,3077110,CTG
2019-06-04,13350,13490,13290,13350,2031330,CTG
2019-06-05,13550,13720,13420,13420,1915720,CTG
2019-06-06,13420,13590,13320,13550,1981740,CTG
2019-06-07,13620,13650,13550,13650,1389360,CTG
2019-06-10,13820,13850,13650,13690,2476670,CTG
2019-06-11,13690,13720,13650,13690,1143400,CTG
2019-06-12,13650,13690,13520,13520,1213370,CTG
2019-06-13,13490,13590,13450,13450,1334410,CTG
2019-06-14,13520,13750,13450,13550,2793720,CTG
2019-06-17,13620,13750,13590,13650,2429080,CTG
2019-06-18,13690,13750,13520,13520,1778110,CTG
2019-06-19,13520,13690,13520,13520,1428770,CTG
2019-06-20,13520,14020,13490,14020,5390770,CTG
2019-06-21,14150,14290,13990,14290,4663670,CTG
2019-06-24,14250,14350,14120,14290,3859260,CTG
2019-06-25,14120,14290,14050,14050,3629470,CTG
2019-06-26,13990,14250,13950,13950,3109850,CTG
2019-06-27,13920,13950,13750,13790,4239030,CTG
2019-06-28,13820,13850,13020,13020,4143360,CTG
2019-07-01,13650,13920,13550,13920,3636530,CTG
2019-07-02,14020,14120,13850,13890,2581680,CTG
2019-07-03,13820,14120,13790,14050,4071120,CTG
2019-07-04,14120,14190,13990,14120,2421940,CTG
2019-07-05,14120,14320,14020,14120,3183640,CTG
2019-07-08,14120,14120,13850,13950,3247610,CTG
2019-07-09,13950,14090,13920,13990,2437260,CTG
2019-07-10,14020,14220,14020,14020,2666090,CTG
2019-07-11,14090,14450,14090,14390,5419950,CTG
2019-07-12,14420,14520,14250,14320,3416020,CTG
2019-07-15,14320,14420,14250,14350,1998860,CTG
2019-07-16,14350,14520,14350,14490,5202320,CTG
