time,open,high,low,close,volume,ticker
2019-01-02,15600,15730,15360,15370,459120,FPT
2019-01-03,15460,15460,15170,15230,716600,FPT
2019-01-04,15140,15460,15110,15340,318570,FPT
2019-01-07,15600,15700,15520,15600,408470,FPT
2019-01-08,15600,15670,15550,15670,295660,FPT
2019-01-09,15700,15890,15630,15820,309040,FPT
2019-01-10,15820,15870,15730,15730,207330,FPT
2019-01-11,15820,15870,15690,15750,596090,FPT
2019-01-14,15790,15890,15670,15860,398400,FPT
2019-01-15,15790,15960,15790,15960,339480,FPT
2019-01-16,16050,16050,15870,15870,186590,FPT
2019-01-17,15860,15950,15670,15670,379770,FPT
2019-01-18,15700,15860,15670,15670,227150,FPT
2019-01-21,15750,15960,15750,15860,247800,FPT
2019-01-22,15860,15950,15800,15800,141480,FPT
2019-01-23,15790,15820,15730,15800,193460,FPT
2019-01-24,15820,15890,15800,15840,234470,FPT
2019-01-25,15820,15890,15790,15820,213470,FPT
2019-01-28,15860,15860,15700,15700,216330,FPT
2019-01-29,15820,15860,15670,15860,430580,FPT
2019-01-30,15860,16180,15820,16120,689260,FPT
2019-01-31,16149,16180,16010,16120,517260,FPT
2019-02-01,16120,16120,15480,15890,599890,FPT
2019-02-11,16050,16540,15930,16480,1000430,FPT
2019-02-12,16420,16640,16379,16379,701570,FPT
2019-02-13,16420,16790,16420,16620,1125370,FPT
2019-02-14,16660,16750,16510,16510,616980,FPT
2019-02-15,16510,16590,16420,16490,647230,FPT
2019-02-18,16610,16640,16450,16570,306310,FPT
2019-02-19,16680,16840,16540,16570,1470880,FPT
2019-02-20,16540,16800,16540,16730,499430,FPT
2019-02-21,16680,16750,16540,16710,749950,FPT
2019-02-22,16710,16940,16570,16860,1243720,FPT
2019-02-25,17000,17240,16950,16970,1023660,FPT
2019-02-26,17000,17000,16790,16860,663220,FPT
2019-02-27,16860,16950,16750,16820,485650,FPT
2019-02-28,16820,16820,16490,16490,1372190,FPT
2019-03-01,16620,16640,16480,16640,590780,FPT
2019-03-04,16640,16860,16640,16790,806770,FPT
2019-03-05,16790,16860,16710,16750,824300,FPT
2019-03-06,16760,16820,16590,16640,695230,FPT
2019-03-07,16640,16790,16640,16690,374340,FPT
2019-03-08,16680,16710,16590,16660,693180,FPT
2019-03-11,16660,16730,16590,16610,364520,FPT
2019-03-12,16690,17350,16690,17350,1930870,FPT
2019-03-13,17320,17420,17240,17240,1001890,FPT
2019-03-14,17240,17350,17170,17260,533480,FPT
2019-03-15,17270,17270,17070,17170,1041840,FPT
2019-03-18,17270,17330,17140,17240,994080,FPT
2019-03-19,17240,17270,17060,17060,914720,FPT
2019-03-20,17000,17130,16880,16950,797270,FPT
2019-03-21,17090,17090,16820,16820,825740,FPT
2019-03-22,16820,16940,16800,16800,687690,FPT
2019-03-25,16490,16790,16490,16570,633520,FPT
2019-03-26,16790,16790,16610,16690,386120,FPT
2019-03-27,16710,16820,16710,16790,589040,FPT
2019-03-28,16690,16920,16690,16840,362360,FPT
2019-03-29,17000,17000,16900,16970,446750,FPT
2019-04-01,17130,17130,16970,17090,327500,FPT
2019-04-02,17090,17420,17090,17170,1354480,FPT
2019-04-03,17320,17610,17170,17610,1034100,FPT
2019-04-04,17720,17990,17630,17840,1716130,FPT
2019-04-05,17840,17880,17700,17840,615200,FPT
2019-04-08,17780,17910,17700,17840,452660,FPT
2019-04-09,17840,18090,17640,17640,1011680,FPT
2019-04-10,17530,17640,17440,17490,731100,FPT
2019-04-11,17490,17720,17470,17530,359910,FPT
2019-04-12,17470,18060,17470,17990,875090,FPT
2019-04-16,17720,17990,17720,17880,907000,FPT
2019-04-17,18020,18470,17990,18090,1959530,FPT
2019-04-18,18090,18370,17930,18090,975930,FPT
2019-04-19,18160,18240,18060,18080,453980,FPT
2019-04-22,18090,18090,17840,17880,826090,FPT
2019-04-23,17880,18080,17720,17880,549400,FPT
2019-04-24,18090,18140,17950,18100,855130,FPT
2019-04-25,18090,18330,18080,18210,970660,FPT
2019-04-26,18240,18570,18210,18490,864950,FPT
2019-05-02,18580,18730,18520,18600,885020,FPT
2019-05-03,18620,18650,18510,18650,1059570,FPT
2019-05-06,18270,18430,18080,18180,1455140,FPT
2019-05-07,18310,18540,18300,18540,1094880,FPT
2019-05-08,18400,18540,18270,18520,959020,FPT
2019-05-09,18510,18520,18130,18130,860940,FPT
2019-05-10,18270,18370,18180,18270,1027830,FPT
2019-05-13,18270,18580,18270,18470,850540,FPT
2019-05-14,18430,18950,18310,18730,1560830,FPT
2019-05-15,18840,18880,18690,18800,1539940,FPT
2019-05-16,18800,18910,18520,18520,1891290,FPT
2019-05-17,18840,18840,18550,18610,1487590,FPT
2019-05-20,18630,18960,18630,18940,1792130,FPT
2019-05-21,19040,19280,18980,19220,1016530,FPT
2019-05-22,18940,19310,18940,18940,1563650,FPT
2019-05-23,18940,19170,18920,19130,1267520,FPT
