time,open,high,low,close,volume,ticker
2019-01-02,59700,60260,59700,60180,417520,GAS
2019-01-03,59980,60320,58240,58720,404480,GAS
2019-01-04,58110,59280,57130,58590,336550,GAS
2019-01-07,59980,60520,59280,59830,255840,GAS
2019-01-08,59830,61500,59830,61220,600270,GAS
2019-01-09,62190,62680,61710,62340,515500,GAS
2019-01-10,63030,63930,62750,63300,685580,GAS
2019-01-11,63370,63580,62470,63090,338400,GAS
2019-01-14,62960,62960,61710,62060,370320,GAS
2019-01-15,62060,62750,62060,62610,368380,GAS
2019-01-16,63370,63370,62610,62820,198780,GAS
2019-01-17,63090,63090,61710,61710,178680,GAS
2019-01-18,62060,62270,61500,61710,227340,GAS
2019-01-21,62960,63170,62060,62750,257610,GAS
2019-01-22,62960,63030,62190,62190,220970,GAS
2019-01-23,62130,62750,61780,62400,227610,GAS
2019-01-24,62470,63300,62270,62270,332180,GAS
2019-01-25,61990,62610,61920,62060,325280,GAS
2019-01-28,62470,62550,61850,62060,189380,GAS
2019-01-29,61440,61710,60670,60950,309890,GAS
2019-01-30,61020,61710,61020,61020,216190,GAS
2019-01-31,61990,61990,60880,60880,327020,GAS
2019-02-01,61220,61570,61020,61020,329360,GAS
2019-02-11,61570,62750,60880,62750,513260,GAS
2019-02-12,62550,63790,62400,63090,623510,GAS
2019-02-13,63650,64900,63520,64480,571680,GAS
2019-02-14,64560,64970,64000,64140,475450,GAS
2019-02-15,64349,65379,64140,65170,916910,GAS
2019-02-18,66220,67530,65870,67400,971850,GAS
2019-02-19,67400,67880,66220,66570,784000,GAS
2019-02-20,66570,66770,65940,66570,533120,GAS
2019-02-21,66570,67610,66360,67400,1213190,GAS
2019-02-22,66970,69200,66630,68850,876610,GAS
2019-02-25,69690,70030,68640,68780,587600,GAS
2019-02-26,68300,68580,67260,67880,919960,GAS
2019-02-27,68090,68780,67740,68300,475590,GAS
2019-02-28,68640,69890,67950,68090,1014710,GAS
2019-03-01,68990,69330,68220,69330,549800,GAS
2019-03-04,70170,71420,70170,71420,1064060,GAS
2019-03-05,70380,72800,70170,72110,878610,GAS
2019-03-06,71490,72110,70380,72110,607480,GAS
2019-03-07,72460,73160,71420,71420,636880,GAS
2019-03-08,70790,71210,69820,70030,717540,GAS
2019-03-11,70030,70100,68580,69480,497400,GAS
2019-03-12,70720,70720,69480,70660,528030,GAS
2019-03-13,71420,71700,70030,70440,452730,GAS
2019-03-14,71070,71560,70440,70930,746300,GAS
2019-03-15,72130,72210,71420,71850,624450,GAS
2019-03-18,72130,73900,72060,73550,824960,GAS
2019-03-19,74180,74260,72490,73200,754590,GAS
2019-03-20,72840,72840,71500,72270,592690,GAS
2019-03-21,73200,73200,70010,70010,689690,GAS
2019-03-22,70660,71000,69800,70660,715730,GAS
2019-03-25,68250,69450,67610,69450,875550,GAS
2019-03-26,70010,70010,68030,68670,349120,GAS
2019-03-27,69730,69730,68670,68740,371570,GAS
2019-03-28,67900,69730,67900,69730,340660,GAS
2019-03-29,69950,70370,69370,69450,255710,GAS
2019-04-01,69660,71420,69660,71220,433760,GAS
2019-04-02,72210,72560,71420,71420,563160,GAS
2019-04-03,71500,72060,70790,71780,451150,GAS
2019-04-04,72060,72270,71570,71640,379650,GAS
