time,open,high,low,close,volume,ticker
2019-01-02,8310,8400,8310,8400,7900,GVR
2019-01-03,8310,8400,8220,8310,17600,GVR
2019-01-04,8130,8400,8130,8310,20830,GVR
2019-01-07,8220,8220,7960,7960,59700,GVR
2019-01-08,8050,8130,8050,8130,6300,GVR
2019-01-09,8310,8400,8130,8310,32100,GVR
2019-01-10,8220,8220,8220,8220,9870,GVR
2019-01-11,8310,8840,8310,8310,116200,GVR
2019-01-14,8310,8580,8310,8310,48800,GVR
2019-01-15,8660,8660,8310,8310,23900,GVR
2019-01-16,8660,9280,8490,8490,48700,GVR
2019-01-17,8750,8750,8400,8400,16000,GVR
2019-01-18,8660,8660,8400,8580,22100,GVR
2019-01-21,8400,8660,8310,8660,9200,GVR
2019-01-22,8490,8490,8310,8310,38400,GVR
2019-01-23,8310,8400,8310,8310,5200,GVR
2019-01-24,8310,8400,8130,8400,23010,GVR
2019-01-25,8220,8220,8130,8130,3500,GVR
2019-01-28,8220,8490,8220,8400,56000,GVR
2019-01-29,8220,8580,8220,8580,82500,GVR
2019-01-30,8660,9190,8580,8750,161000,GVR
2019-01-31,9110,9280,8750,8840,34700,GVR
2019-02-01,8840,9020,8840,8930,31700,GVR
2019-02-11,8840,8840,8400,8400,8700,GVR
2019-02-12,8490,8840,8400,8840,21300,GVR
2019-02-13,8490,8750,8490,8750,21200,GVR
2019-02-14,8580,8660,8580,8580,2900,GVR
2019-02-15,8750,8840,8660,8660,32950,GVR
2019-02-18,8660,8750,8580,8580,24000,GVR
2019-02-19,8660,8750,8660,8660,37500,GVR
2019-02-20,8660,8750,8490,8750,107900,GVR
2019-02-21,8580,8660,8490,8490,73500,GVR
2019-02-22,8660,8840,8580,8580,131000,GVR
2019-02-25,8750,9280,8750,8840,73900,GVR
2019-02-26,9020,9020,8580,8750,46300,GVR
2019-02-27,8750,9280,8660,8660,274100,GVR
2019-02-28,8750,8750,8660,8660,58300,GVR
2019-03-01,8660,8660,8660,8660,14100,GVR
2019-03-04,8660,8930,8660,8930,65500,GVR
2019-03-05,8930,9190,8840,9190,116140,GVR
2019-03-06,9110,9460,9020,9110,333400,GVR
2019-03-07,9190,9370,8840,8840,91001,GVR
2019-03-08,8930,9020,8840,9020,83409,GVR
2019-03-11,8840,8840,8660,8750,93300,GVR
2019-03-12,8750,9020,8750,8840,206700,GVR
2019-03-13,8930,9190,8750,9020,166300,GVR
2019-03-14,9020,9280,8930,9110,175300,GVR
2019-03-15,9190,10430,9020,9990,1093809,GVR
2019-03-18,9990,10870,9990,10260,594650,GVR
2019-03-19,10430,10520,9730,9730,336000,GVR
2019-03-20,9730,10170,9460,9990,533080,GVR
2019-03-21,9990,11230,9990,11050,1495070,GVR
2019-03-22,11050,12380,10870,11320,747600,GVR
2019-03-25,11490,11490,10520,10790,610250,GVR
2019-03-26,10610,10960,10520,10790,332100,GVR
2019-03-27,10700,11850,10520,11140,389330,GVR
2019-03-28,11050,11230,10610,10790,414859,GVR
2019-03-29,10610,10960,10430,10430,449200,GVR
2019-04-01,10700,10790,9990,10260,513854,GVR
2019-04-02,10260,11050,10080,10520,359420,GVR
2019-04-03,10520,10790,10170,10430,136112,GVR
2019-04-04,10430,11140,10260,10870,706804,GVR
