time,open,high,low,close,volume,ticker
2019-01-02,9330,9330,8680,8680,723350,HDB
2019-01-03,8910,8930,8650,8670,1222860,HDB
2019-01-04,8720,8930,8620,8930,1129350,HDB
2019-01-07,8930,9080,8770,8890,727640,HDB
2019-01-08,8890,8910,8620,8770,1063470,HDB
2019-01-09,8810,8960,8810,8890,1246940,HDB
2019-01-10,8910,8960,8910,8930,1859370,HDB
2019-01-11,8930,9080,8910,9000,2231760,HDB
2019-01-14,9000,9050,8890,8960,715340,HDB
2019-01-15,9000,9010,8910,9000,717930,HDB
2019-01-16,9000,9000,8890,9000,895390,HDB
2019-01-17,9000,9000,8890,8890,998480,HDB
2019-01-18,8930,9050,8890,8960,1417600,HDB
2019-01-21,8980,9140,8960,9120,1233280,HDB
2019-01-22,9140,9350,9140,9270,1369310,HDB
2019-01-23,9240,9330,9220,9240,850650,HDB
2019-01-24,9240,9290,9140,9220,725150,HDB
2019-01-25,9240,9270,9180,9220,891440,HDB
2019-01-28,9220,9270,9180,9240,876970,HDB
2019-01-29,9240,9250,9190,9240,934570,HDB
2019-01-30,9240,9250,9190,9240,768110,HDB
2019-01-31,9270,9380,9270,9380,762510,HDB
2019-02-01,9380,9420,9330,9380,1336610,HDB
2019-02-11,9420,9450,9360,9440,1150140,HDB
2019-02-12,9440,9630,9420,9580,1889530,HDB
2019-02-13,9590,9700,9580,9600,1299260,HDB
2019-02-14,9580,9620,9420,9490,944710,HDB
2019-02-15,9490,9490,9300,9360,1126100,HDB
2019-02-18,9360,9440,9290,9420,1482140,HDB
2019-02-19,9420,9420,9160,9240,1535000,HDB
2019-02-20,9240,9240,9140,9140,840490,HDB
2019-02-21,9140,9220,9050,9180,1427590,HDB
2019-02-22,9180,9380,9120,9270,1237000,HDB
2019-02-25,9300,9580,9300,9550,1776680,HDB
2019-02-26,9550,9570,9370,9440,1122230,HDB
2019-02-27,9440,9470,9380,9420,951480,HDB
2019-02-28,9420,9420,9240,9240,1478660,HDB
2019-03-01,9240,9370,9240,9360,963400,HDB
2019-03-04,9360,9420,9300,9360,1085020,HDB
2019-03-05,9360,9510,9330,9450,1303000,HDB
2019-03-06,9470,9550,9380,9450,1108670,HDB
2019-03-07,9450,9510,9360,9450,1620040,HDB
2019-03-08,9370,9420,9240,9360,1212760,HDB
2019-03-11,9360,9380,9270,9360,626150,HDB
2019-03-12,9360,9550,9330,9510,1505510,HDB
2019-03-13,9510,9620,9510,9550,2043280,HDB
2019-03-14,9550,9570,9450,9510,1310490,HDB
2019-03-15,9510,9830,9510,9800,3064820,HDB
2019-03-18,9830,9950,9750,9800,1392510,HDB
2019-03-19,9800,9960,9800,9830,1696390,HDB
2019-03-20,9800,9830,9550,9780,931480,HDB
2019-03-21,9780,9830,9530,9550,972860,HDB
2019-03-22,9550,9660,9490,9550,1239450,HDB
2019-03-25,9330,9450,9250,9330,1271210,HDB
2019-03-26,9330,9440,9300,9330,1421400,HDB
2019-03-27,9350,9400,9250,9350,1492830,HDB
2019-03-28,9300,9450,9240,9290,1479130,HDB
2019-03-29,9240,9300,9160,9240,1153030,HDB
2019-04-01,9240,9250,9080,9100,1097250,HDB
2019-04-02,9110,9140,8770,8870,1518730,HDB
2019-04-03,8770,8790,8670,8700,1140200,HDB
2019-04-04,8770,9010,8770,9000,1613920,HDB
2019-04-05,8960,9010,8890,9010,1364970,HDB
2019-04-08,8960,8980,8860,8890,1065960,HDB
2019-04-09,8890,9010,8750,8860,1880540,HDB
2019-04-10,8790,8810,8620,8650,1714100,HDB
2019-04-11,8680,8720,8610,8610,1056670,HDB
2019-04-12,8610,8630,8470,8530,1429660,HDB
2019-04-16,8510,8810,8470,8810,1465250,HDB
2019-04-17,8840,8880,8770,8770,1064030,HDB
2019-04-18,8720,8740,8590,8650,1155030,HDB
2019-04-19,8650,8670,8580,8650,938990,HDB
2019-04-22,8680,8680,8530,8650,1243600,HDB
2019-04-23,8680,8740,8610,8700,1394220,HDB
2019-04-24,8720,8740,8670,8730,1127760,HDB
2019-04-25,8740,8740,8550,8650,1239480,HDB
2019-04-26,8700,8720,8620,8650,944690,HDB
2019-05-02,8680,8680,8560,8630,1303850,HDB
2019-05-03,8630,8650,8490,8620,1351590,HDB
2019-05-06,8580,8580,8380,8410,992700,HDB
2019-05-07,8410,8450,8039,8039,1855910,HDB
2019-05-08,8000,8100,7890,8100,2118830,HDB
2019-05-09,8100,8230,8020,8230,1578090,HDB
2019-05-10,8250,8470,8170,8380,1642950,HDB
2019-05-13,8380,8490,8220,8490,3370690,HDB
2019-05-14,8430,8490,8250,8380,1545870,HDB
2019-05-15,8310,8510,8220,8490,2499810,HDB
2019-05-16,8430,8510,8250,8410,2217020,HDB
2019-05-17,8390,8390,8230,8310,1413840,HDB
2019-05-20,8360,8380,8270,8360,1315780,HDB
2019-05-21,8360,8390,8270,8350,1555260,HDB
2019-05-22,8310,8380,8270,8310,665200,HDB
2019-05-23,8310,8330,8070,8160,1685350,HDB
2019-05-24,8130,8220,8090,8160,883450,HDB
2019-05-27,8160,8310,8140,8290,961600,HDB
2019-05-28,8280,8310,8130,8280,1003730,HDB
2019-05-29,8250,8330,8160,8290,1761010,HDB
2019-05-30,8280,8430,8250,8420,2254410,HDB
2019-05-31,8390,8430,8280,8410,1768000,HDB
2019-06-03,8390,8390,8140,8230,1491650,HDB
2019-06-04,8189,8250,8100,8189,1348200,HDB
2019-06-05,8210,8290,8189,8280,1688710,HDB
2019-06-06,8220,8310,8220,8250,779490,HDB
2019-06-07,8230,8280,8160,8280,941190,HDB
2019-06-10,8280,8310,8140,8250,1287780,HDB
2019-06-11,8189,8280,8170,8230,865430,HDB
2019-06-12,8250,8280,8170,8250,1192730,HDB
2019-06-13,8220,8270,8160,8189,1028590,HDB
2019-06-14,8230,8280,8130,8189,1780120,HDB
2019-06-17,8220,8250,8109,8160,1006060,HDB
2019-06-18,8170,8220,7930,8000,1248130,HDB
2019-06-19,8090,8130,7690,8090,1856260,HDB
2019-06-20,8160,8290,8130,8280,1786910,HDB
2019-06-21,8280,8330,8160,8189,1912930,HDB
2019-06-24,8220,8250,8170,8210,846740,HDB
2019-06-25,8189,8250,8170,8220,641150,HDB
2019-06-26,8220,8250,8140,8189,1348500,HDB
2019-06-27,8189,8250,8140,8170,720990,HDB
2019-06-28,8170,8470,7970,8470,1728220,HDB
2019-07-01,8470,8470,8220,8280,1206760,HDB
2019-07-02,8270,8270,8090,8160,1672670,HDB
2019-07-03,8130,8189,8050,8100,1192780,HDB
2019-07-04,8160,8160,8070,8160,1596370,HDB
2019-07-05,8160,8210,8090,8090,1051800,HDB
2019-07-08,8070,8070,7960,8000,1276780,HDB
2019-07-09,8000,8050,7900,8050,1465910,HDB
2019-07-10,8039,8039,7930,7980,1818100,HDB
2019-07-11,7980,8090,7980,8039,1058820,HDB
2019-07-12,8039,8070,7970,8050,1058860,HDB
2019-07-15,8039,8090,7960,8039,971410,HDB
2019-07-16,8020,8070,8000,8020,1018830,HDB
2019-07-17,8039,8130,8000,8130,1838690,HDB
2019-07-18,8140,8160,8000,8109,1073860,HDB
2019-07-19,8109,8140,8070,8130,910900,HDB
2019-07-22,8130,8160,7980,8039,775190,HDB
2019-07-23,8039,8050,7970,8050,892560,HDB
2019-07-24,8070,8100,7980,8039,507930,HDB
2019-07-25,8039,8090,7950,8050,1259970,HDB
2019-07-26,8039,8070,7950,8020,1269290,HDB
2019-07-29,8000,8039,7970,8000,924560,HDB
2019-07-30,8020,8020,7960,8000,1082500,HDB
2019-07-31,8039,8039,7950,7980,1225140,HDB
2019-08-01,8000,8000,7960,8000,1079040,HDB
2019-08-02,7970,8020,7910,8020,1994450,HDB
2019-08-05,8000,8020,7870,7890,1080940,HDB
2019-08-06,7890,7890,7520,7690,2045940,HDB
2019-08-07,7890,7690,7540,7690,1645830,HDB
2019-08-08,7690,7690,7580,7690,1542970,HDB
2019-08-09,7690,8100,7670,8100,3855360,HDB
2019-08-12,8140,8160,7950,8050,1252920,HDB
2019-08-13,8020,8039,7890,8020,1066250,HDB
2019-08-14,8020,8100,7910,8100,1459040,HDB
2019-08-15,7930,8109,7910,8109,1724750,HDB
2019-08-16,8100,8160,8050,8130,1822580,HDB
2019-08-19,8130,8160,8070,8109,623530,HDB
2019-08-20,8100,8109,8020,8100,995850,HDB
2019-08-21,8090,8160,8039,8160,1292810,HDB
2019-08-22,8130,8140,8100,8140,914360,HDB
2019-08-23,8130,8130,8090,8130,893370,HDB
2019-08-26,8100,8100,7950,8100,1276690,HDB
2019-08-27,8100,8160,8090,8160,2423010,HDB
2019-08-28,8160,8160,8090,8130,720970,HDB
2019-08-29,8109,8130,7840,8090,2307000,HDB
2019-08-30,8050,8109,7950,8000,1027180,HDB
2019-09-03,7970,7980,7890,7910,1398210,HDB
2019-09-04,7970,7960,7840,7870,976200,HDB
2019-09-05,7890,7890,7780,7870,909790,HDB
2019-09-06,7850,7890,7780,7850,996760,HDB
2019-09-09,7870,7890,7780,7850,806820,HDB
2019-09-10,7870,7870,7650,7820,1230850,HDB
2019-09-11,7820,7840,7660,7820,1300750,HDB
2019-09-12,7820,7930,7790,7910,1301200,HDB
2019-09-13,7900,8070,7870,8000,1831310,HDB
2019-09-16,7980,8130,7980,8100,2225270,HDB
2019-09-17,8090,8100,8000,8070,1571630,HDB
2019-09-18,8050,8090,8020,8039,905560,HDB
2019-09-19,8020,8140,8020,8109,1610140,HDB
2019-09-20,8109,8160,8100,8109,1212560,HDB
2019-09-23,8109,8130,8090,8130,924710,HDB
2019-09-24,8109,8130,8039,8090,1312330,HDB
2019-09-25,8090,8140,8070,8140,1218460,HDB
2019-09-26,8130,8189,8109,8160,1921770,HDB
2019-09-27,8160,8220,8130,8210,2109570,HDB
2019-09-30,8210,8630,8210,8530,3492130,HDB
2019-10-01,8530,8740,8530,8700,4476330,HDB
2019-10-02,8680,8740,8630,8650,2485740,HDB
2019-10-03,8610,8670,8470,8560,2394270,HDB
2019-10-04,8560,8630,8430,8470,1733690,HDB
2019-10-07,8470,8530,8410,8430,1407810,HDB
2019-10-08,8430,8510,8410,8490,1646150,HDB
2019-10-09,8480,8510,8450,8470,1299340,HDB
2019-10-10,8480,8510,8430,8510,1538160,HDB
2019-10-11,8530,8670,8510,8620,2265090,HDB
2019-10-14,8670,8740,8670,8740,2796220,HDB
2019-10-15,8750,8790,8670,8720,1432200,HDB
2019-10-16,8720,8730,8650,8680,1068290,HDB
2019-10-17,8670,8680,8590,8590,1948760,HDB
2019-10-18,8620,8630,8560,8610,1281060,HDB
2019-10-21,8590,8630,8580,8620,1170010,HDB
2019-10-22,8620,8700,8580,8610,1251450,HDB
2019-10-23,8590,8700,8560,8700,2508290,HDB
2019-10-24,8680,9000,8650,9000,4608210,HDB
2019-10-25,8980,9010,8860,8890,1586170,HDB
2019-10-28,8930,8940,8820,8890,1730470,HDB
2019-10-29,8870,8910,8790,8870,1446260,HDB
2019-10-30,8860,8910,8840,8890,2171950,HDB
2019-10-31,8890,9110,8890,9060,4007290,HDB
2019-11-01,9040,9060,8910,9030,1528630,HDB
2019-11-04,9010,9080,8980,9080,2666690,HDB
2019-11-05,9050,9080,9010,9080,1544260,HDB
2019-11-06,9080,9080,8960,8960,1981650,HDB
2019-11-07,8960,9010,8890,8980,1764160,HDB
2019-11-08,9030,9200,9010,9120,4099020,HDB
2019-11-11,9110,9140,8960,9110,2449980,HDB
2019-11-12,9080,9110,8980,9080,2025350,HDB
2019-11-13,9060,9080,8980,9080,2306790,HDB
2019-11-14,9050,9080,8930,8930,1800960,HDB
2019-11-15,8930,8940,8730,8730,2507740,HDB
2019-11-18,8750,9030,8720,8840,3249280,HDB
2019-11-19,8860,8880,8810,8870,1798650,HDB
2019-11-20,8870,8940,8770,8890,1671860,HDB
2019-11-21,8860,8890,8750,8750,1711790,HDB
2019-11-22,8770,8820,8470,8560,1596730,HDB
2019-11-25,8560,8630,8480,8560,961390,HDB
2019-11-26,8590,8630,8510,8560,1420590,HDB
2019-11-27,8560,8590,8310,8310,1153210,HDB
2019-11-28,8310,8330,8000,8050,1211930,HDB
2019-11-29,8039,8170,8039,8160,957640,HDB
2019-12-02,8160,8160,7870,7870,954080,HDB
2019-12-03,7870,7950,7790,7870,1045380,HDB
2019-12-04,7890,8410,7890,8410,2051210,HDB
2019-12-05,8550,8740,8530,8590,1719780,HDB
2019-12-06,8560,8610,8490,8560,811470,HDB
2019-12-09,8550,8650,8470,8620,1648450,HDB
2019-12-10,8620,8650,8490,8530,1009950,HDB
2019-12-11,8470,8650,8470,8620,1296400,HDB
2019-12-12,8620,8650,8580,8620,1185500,HDB
2019-12-13,8620,8650,8550,8610,1360290,HDB
2019-12-16,8610,8610,8470,8480,1188090,HDB
2019-12-17,8380,8470,8220,8290,1362410,HDB
2019-12-18,8170,8290,8050,8140,1218070,HDB
2019-12-19,8140,8160,7980,8070,1276510,HDB
2019-12-20,8070,8090,8039,8070,895980,HDB
2019-12-23,8070,8109,8039,8100,1102710,HDB
2019-12-24,8109,8310,8109,8250,1607030,HDB
2019-12-25,8230,8310,8189,8220,833500,HDB
2019-12-26,8189,8220,8130,8160,660670,HDB
2019-12-27,8160,8310,8140,8310,2205190,HDB
2019-12-30,8310,8330,8250,8280,898050,HDB
2019-12-31,8280,8480,8250,8480,2151310,HDB
2020-01-02,8470,8560,8360,8560,2142970,HDB
2020-01-03,8550,8550,8430,8480,1305640,HDB
2020-01-06,8470,8470,8250,8310,1309500,HDB
2020-01-07,8310,8310,8189,8220,865630,HDB
2020-01-08,8189,8280,8050,8220,1954710,HDB
2020-01-09,8220,8490,8210,8470,2024450,HDB
2020-01-10,8480,8740,8480,8650,1917360,HDB
2020-01-13,8650,8670,8510,8590,866380,HDB
2020-01-14,8530,8670,8490,8620,813000,HDB
2020-01-15,8620,8630,8510,8550,712440,HDB
2020-01-16,8550,8840,8530,8820,2717120,HDB
2020-01-17,8840,8910,8790,8790,2061530,HDB
2020-01-20,8790,8790,8650,8700,939700,HDB
2020-01-21,8700,8960,8680,8910,1656380,HDB
2020-01-22,8910,8940,8770,8930,2241630,HDB
2020-01-30,8840,8840,8610,8610,1695770,HDB
2020-01-31,8580,8590,8000,8310,1891250,HDB
2020-02-03,8210,8450,7870,8310,1825080,HDB
2020-02-04,8330,8530,8270,8480,1620490,HDB
2020-02-05,8480,8770,8390,8740,1330510,HDB
2020-02-06,8750,9240,8730,9200,3301040,HDB
2020-02-07,9200,9270,9110,9220,1757480,HDB
2020-02-10,9190,9200,8980,9080,1230340,HDB
2020-02-11,9050,9110,8880,8930,2634890,HDB
2020-02-12,8940,9200,8940,9000,1790130,HDB
2020-02-13,9010,9080,8960,9000,1237040,HDB
2020-02-14,9010,9100,8810,8810,2113640,HDB
2020-02-17,8810,8860,8790,8860,2070830,HDB
2020-02-18,8840,8930,8820,8820,1079920,HDB
2020-02-19,8820,8820,8650,8770,1704650,HDB
2020-02-20,8790,8820,8720,8740,1144200,HDB
2020-02-21,8730,8840,8680,8740,1193560,HDB
2020-02-24,8620,8630,8390,8390,1366630,HDB
2020-02-25,8310,8630,8290,8620,1834510,HDB
2020-02-26,8530,8700,8420,8530,1200270,HDB
2020-02-27,8550,8650,8510,8620,1243660,HDB
2020-02-28,8480,8560,8380,8560,1033040,HDB
2020-03-02,8530,8620,8430,8530,1320040,HDB
2020-03-03,8620,8720,8490,8530,2539510,HDB
2020-03-04,8530,8700,8530,8670,1566000,HDB
2020-03-05,8700,8820,8550,8620,1184690,HDB
2020-03-06,8590,8620,8470,8620,720180,HDB
2020-03-09,8250,8270,8020,8020,1611800,HDB
2020-03-10,7710,8210,7690,7950,2498670,HDB
2020-03-11,8000,8000,7400,7540,1355180,HDB
2020-03-12,7430,7430,7020,7020,2178450,HDB
2020-03-13,6550,7210,6550,7080,3270420,HDB
2020-03-16,6880,7080,6590,6680,2497160,HDB
2020-03-17,6340,6940,6250,6530,3084830,HDB
2020-03-18,6750,6750,6480,6560,1712110,HDB
2020-03-19,6460,6460,6110,6440,2289340,HDB
2020-03-20,6370,6440,6080,6440,1539210,HDB
2020-03-23,6040,6040,5980,5980,695880,HDB
2020-03-24,5980,6060,5760,5850,1649110,HDB
2020-03-25,6120,6120,5900,6120,2066330,HDB
2020-03-26,6100,6120,5810,6040,3422990,HDB
2020-03-27,6000,6000,5620,5620,1966000,HDB
2020-03-30,5390,5390,5230,5310,1797420,HDB
2020-03-31,5520,5640,4970,5480,1498980,HDB
2020-04-01,5510,5830,5490,5830,752190,HDB
2020-04-03,5880,6020,5850,6020,1133750,HDB
2020-04-06,6040,6310,6040,6310,2020520,HDB
2020-04-07,6310,6440,6190,6390,1134650,HDB
2020-04-08,6310,6370,6180,6360,1080520,HDB
2020-04-09,6360,6410,6200,6360,2083860,HDB
2020-04-10,6200,6310,6100,6160,1576090,HDB
2020-04-13,6140,6220,5950,6220,1621270,HDB
2020-04-14,6240,6240,6020,6160,1069550,HDB
2020-04-15,6160,6360,6160,6360,1176120,HDB
