time,open,high,low,close,volume,ticker
2019-01-02,9850,10030,9820,9820,4196210,HPG
2019-01-03,9800,9850,9400,9400,6877510,HPG
2019-01-04,9370,9560,9150,9460,5841290,HPG
2019-01-07,9650,9670,9290,9350,2488920,HPG
2019-01-08,9370,9400,9150,9190,3150620,HPG
2019-01-09,9250,9500,9250,9400,1876020,HPG
2019-01-10,9440,9590,9400,9500,1783870,HPG
2019-01-11,9500,9530,9350,9350,2659370,HPG
2019-01-14,9370,9390,9190,9340,3226780,HPG
2019-01-15,9340,9440,9290,9340,2640430,HPG
2019-01-16,9370,9450,9290,9390,2981480,HPG
2019-01-17,9390,9390,9210,9210,1957850,HPG
2019-01-18,9340,9390,9290,9310,2120620,HPG
2019-01-21,9340,9480,9310,9420,1917140,HPG
2019-01-22,9460,9520,9390,9400,1665310,HPG
2019-01-23,9370,9690,9350,9580,3788700,HPG
2019-01-24,9590,9690,9520,9520,2387030,HPG
2019-01-25,9560,9590,9420,9460,1609890,HPG
2019-01-28,9500,9500,9440,9480,1711540,HPG
2019-01-29,9520,9520,9400,9460,1814550,HPG
2019-01-30,9440,9440,9190,9250,6765640,HPG
2019-01-31,9250,9290,8800,8830,7171640,HPG
2019-02-01,8870,8990,8610,8700,7100180,HPG
2019-02-11,8810,9210,8800,9210,2836470,HPG
2019-02-12,9210,9520,9160,9400,7952400,HPG
2019-02-13,9400,9910,9400,9850,11079510,HPG
2019-02-14,9850,9970,9820,9880,6455840,HPG
2019-02-15,9880,10350,9820,10070,9326200,HPG
2019-02-18,10230,10370,10180,10250,6374370,HPG
2019-02-19,10350,10350,10090,10100,5904440,HPG
2019-02-20,10100,10290,10090,10260,5878290,HPG
2019-02-21,10290,10420,10160,10420,6010110,HPG
2019-02-22,10410,10820,10370,10810,8269150,HPG
2019-02-25,10980,11330,10900,11090,11781980,HPG
2019-02-26,11090,11280,10920,11000,7383610,HPG
2019-02-27,11140,11140,10880,10960,4999180,HPG
2019-02-28,11010,11030,10710,10710,6952800,HPG
2019-03-01,10710,10920,10710,10920,4610790,HPG
