time,open,high,low,close,volume,ticker
2019-01-02,7860,7930,7800,7800,3645490,MBB
2019-01-03,7820,7820,7460,7460,8560650,MBB
2019-01-04,7410,7610,7270,7490,6057970,MBB
2019-01-07,7650,7760,7610,7630,4139200,MBB
2019-01-08,7650,7690,7550,7590,3172190,MBB
2019-01-09,7650,7840,7630,7800,5914110,MBB
2019-01-10,7800,7860,7760,7800,2885650,MBB
2019-01-11,7800,7840,7720,7760,3326770,MBB
2019-01-14,7720,7780,7610,7650,4754200,MBB
2019-01-15,7650,7930,7650,7860,5908240,MBB
2019-01-16,7910,7950,7800,7840,2505890,MBB
2019-01-17,7840,8050,7840,7950,6675580,MBB
2019-01-18,7990,8010,7910,7950,3041270,MBB
2019-01-21,8250,8500,8189,8460,9970870,MBB
2019-01-22,8460,8480,8300,8300,5700760,MBB
2019-01-23,8280,8390,8250,8340,2458540,MBB
2019-01-24,8360,8540,8340,8540,4912140,MBB
2019-01-25,8540,8580,8480,8520,3310930,MBB
2019-01-28,8500,8540,8440,8480,2873640,MBB
2019-01-29,8460,8600,8390,8580,3966560,MBB
2019-01-30,8580,8810,8540,8780,6716410,MBB
2019-01-31,8860,8920,8810,8830,7340190,MBB
2019-02-01,8780,8850,8750,8810,3947520,MBB
2019-02-11,8850,8900,8830,8890,4238890,MBB
2019-02-12,8920,8920,8750,8860,8163220,MBB
2019-02-13,8860,8900,8850,8860,7793680,MBB
2019-02-14,8860,8900,8850,8900,5052420,MBB
2019-02-15,8900,8920,8860,8890,4795580,MBB
2019-02-18,8900,8940,8890,8900,6665490,MBB
2019-02-19,8900,8900,8830,8850,13646940,MBB
2019-02-20,8780,8890,8780,8890,9694170,MBB
2019-02-21,8860,8900,8850,8900,7998970,MBB
2019-02-22,8900,9230,8860,9060,7449760,MBB
2019-02-25,9100,9190,9040,9040,4963740,MBB
2019-02-26,9040,9040,8890,8890,6790020,MBB
2019-02-27,8890,8940,8860,8890,11767870,MBB
2019-02-28,8860,8890,8660,8660,5837530,MBB
2019-03-01,8720,8810,8680,8780,2610160,MBB
2019-03-04,8780,8920,8770,8920,3669110,MBB
2019-03-05,8890,9030,8890,8920,4786880,MBB
2019-03-06,8920,8980,8860,8920,2290120,MBB
2019-03-07,8920,8980,8900,8940,3164810,MBB
2019-03-08,8860,8900,8780,8810,3277410,MBB
2019-03-11,8850,8850,8770,8780,1529570,MBB
2019-03-12,8850,9100,8750,9090,6797420,MBB
2019-03-13,9090,9190,9060,9100,6024410,MBB
2019-03-14,9150,9190,9060,9060,3449490,MBB
2019-03-15,9060,9150,9000,9060,3224510,MBB
2019-03-18,9100,9190,9060,9170,4746380,MBB
