time,open,high,low,close,volume,ticker
2019-01-02,27360,27360,26890,26890,351730,MWG
2019-01-03,26890,26960,26100,26100,703060,MWG
2019-01-04,26100,26330,25790,26290,432170,MWG
2019-01-07,26410,26890,26360,26730,398000,MWG
2019-01-08,26730,26730,26410,26410,172180,MWG
2019-01-09,26410,26960,26410,26860,440950,MWG
2019-01-10,26860,27050,26640,27050,285290,MWG
2019-01-11,27050,27050,26730,26730,360780,MWG
2019-01-14,26730,26730,26410,26730,454580,MWG
2019-01-15,26730,26960,26510,26960,871010,MWG
2019-01-16,26890,27300,26830,26830,1761330,MWG
2019-01-17,27050,27050,26800,26830,457130,MWG
2019-01-18,26800,26890,26540,26540,195210,MWG
2019-01-21,26540,26600,26260,26330,440920,MWG
2019-01-22,26360,26570,26330,26360,141590,MWG
2019-01-23,26360,26410,26260,26290,176570,MWG
2019-01-24,26290,26380,26200,26290,147770,MWG
2019-01-25,26290,26380,26170,26170,223510,MWG
2019-01-28,26170,26480,26170,26290,270250,MWG
2019-01-29,26290,26890,26070,26890,461840,MWG
2019-01-30,26570,26670,26290,26290,263110,MWG
2019-01-31,26410,26570,26100,26100,206030,MWG
2019-02-01,26330,26480,26070,26100,420360,MWG
2019-02-11,26260,26600,26260,26600,355460,MWG
2019-02-12,26600,26830,26600,26600,343450,MWG
2019-02-13,26600,27110,26600,27110,1212540,MWG
2019-02-14,27110,27170,26890,26960,668840,MWG
2019-02-15,26960,27140,26830,27070,717740,MWG
2019-02-18,27200,27230,27020,27070,455150,MWG
2019-02-19,27070,27580,27070,27360,1911250,MWG
2019-02-20,27360,27540,27330,27390,592890,MWG
2019-02-21,27390,27640,27390,27640,781820,MWG
2019-02-22,27580,28220,27390,27990,1190030,MWG
2019-02-25,28310,28680,28150,28180,1273860,MWG
2019-02-26,28250,28250,27740,27830,797730,MWG
2019-02-27,27960,28120,27610,27740,575710,MWG
2019-02-28,27740,27900,27300,27300,1160450,MWG
2019-03-01,27540,27640,27360,27510,431190,MWG
2019-03-04,27830,28120,27450,27990,769420,MWG
2019-03-05,27990,28310,27610,27610,706580,MWG
2019-03-06,27670,27770,27450,27700,536430,MWG
2019-03-07,27830,27830,27540,27580,458460,MWG
2019-03-08,27360,27480,27170,27230,830580,MWG
2019-03-11,27330,27640,27330,27480,358070,MWG
2019-03-12,27670,27830,27610,27830,667370,MWG
2019-03-13,27830,28310,27830,28120,1079120,MWG
2019-03-14,28150,28150,27830,27990,530270,MWG
2019-03-15,27990,28090,27770,27860,456820,MWG
2019-03-18,27860,28090,27830,28060,722860,MWG
2019-03-19,28090,28610,27960,28020,1161490,MWG
2019-03-20,27830,28090,27670,27830,431600,MWG
2019-03-21,27830,28020,27640,27640,706020,MWG
2019-03-22,27640,27700,27360,27420,671770,MWG
2019-03-25,27200,27200,26360,26360,1163400,MWG
2019-03-26,26730,26800,26380,26440,588520,MWG
2019-03-27,26570,26700,26540,26540,207810,MWG
2019-03-28,26570,26640,26440,26540,352840,MWG
2019-03-29,26600,26800,26570,26670,285550,MWG
2019-04-01,26670,26760,26410,26440,484640,MWG
2019-04-02,26700,26760,26440,26440,287660,MWG
2019-04-03,26570,26570,26330,26360,235540,MWG
2019-04-04,26360,26510,26230,26260,317500,MWG
2019-04-05,25970,26510,25970,26440,354560,MWG
2019-04-08,26570,26570,26260,26410,186580,MWG
2019-04-09,26410,26440,26170,26330,275970,MWG
2019-04-10,26230,26290,25850,26040,401860,MWG
2019-04-11,25940,26130,25850,25940,222580,MWG
2019-04-12,25940,26040,25760,25940,349720,MWG
2019-04-16,25730,25850,25600,25700,454000,MWG
2019-04-17,25700,25810,25600,25730,343330,MWG
2019-04-18,25730,25790,25340,25600,378380,MWG
2019-04-19,25630,25880,25600,25850,242750,MWG
2019-04-22,25970,26230,25940,26100,359660,MWG
2019-04-23,26100,26170,25910,26040,205300,MWG
2019-04-24,26040,26230,26010,26100,318360,MWG
2019-04-25,26200,26410,26100,26260,273010,MWG
2019-04-26,26260,26730,26200,26700,729640,MWG
2019-05-02,26830,27170,26830,27050,558270,MWG
2019-05-03,27050,27050,26760,27020,383610,MWG
2019-05-06,26730,26730,26260,26360,406200,MWG
2019-05-07,26440,26570,26260,26380,292510,MWG
2019-05-08,26100,26380,25940,26260,339560,MWG
2019-05-09,26230,26570,26200,26440,381100,MWG
2019-05-10,26440,26760,26410,26730,343700,MWG
2019-05-13,26700,26860,26410,26800,266140,MWG
2019-05-14,26730,26960,26600,26890,511320,MWG
2019-05-15,27020,27450,26990,27360,772070,MWG
2019-05-16,27360,27480,27050,27050,341020,MWG
2019-05-17,27050,27360,27050,27200,298530,MWG
2019-05-20,27270,27860,27270,27770,899010,MWG
2019-05-21,27800,28020,27640,27740,943500,MWG
2019-05-22,27830,28150,27740,27830,673140,MWG
2019-05-23,28160,28160,27830,28030,575790,MWG
2019-05-24,27900,28560,27800,28370,1173580,MWG
2019-05-27,28310,28410,27930,28060,539410,MWG
2019-05-28,27990,28290,27990,28220,511870,MWG
2019-05-29,28220,28310,27960,27990,910660,MWG
2019-05-30,27990,28160,27860,28030,394320,MWG
2019-05-31,28030,28060,27510,27540,626570,MWG
2019-06-03,27510,27510,26910,27190,549540,MWG
2019-06-04,27320,27510,27060,27510,224080,MWG
2019-06-05,27700,27930,27670,27700,290690,MWG
2019-06-06,27830,27830,27510,27670,383430,MWG
2019-06-07,27730,28250,27730,28250,656210,MWG
2019-06-10,28290,28630,28250,28340,726010,MWG
2019-06-11,28460,28950,28430,28660,1050580,MWG
2019-06-12,28790,29110,28630,29020,948660,MWG
2019-06-13,29050,29050,28530,28590,762860,MWG
2019-06-14,28720,28720,28430,28490,645930,MWG
2019-06-17,28460,28530,27990,28090,767010,MWG
2019-06-18,28120,28290,28060,28250,409820,MWG
2019-06-19,28340,28630,28290,28340,378510,MWG
2019-06-20,28460,29310,28410,29020,1146920,MWG
2019-06-21,29050,29410,29050,29110,516880,MWG
2019-06-24,29410,29580,29020,29240,774060,MWG
2019-06-25,29240,29370,28980,29370,489060,MWG
2019-06-26,29370,29840,29180,29680,761460,MWG
2019-06-27,29470,29680,29050,29110,761170,MWG
2019-06-28,29180,29680,29050,29680,714920,MWG
