time,open,high,low,close,volume,ticker
2019-01-02,42950,44140,42950,43280,380020,PLX
2019-01-03,43280,43750,41760,42630,450490,PLX
2019-01-04,42160,43910,42160,43670,302070,PLX
2019-01-07,44140,44310,43840,43910,187920,PLX
2019-01-08,44140,44140,42390,43030,352050,PLX
2019-01-09,43670,43910,42950,43110,343920,PLX
2019-01-10,43590,43980,43280,43840,280830,PLX
2019-01-11,44070,44540,43750,43980,337760,PLX
2019-01-14,43980,44140,43030,43670,125040,PLX
2019-01-15,43670,44380,43420,43980,230330,PLX
2019-01-16,44540,44780,44070,44140,252480,PLX
2019-01-17,44140,44310,43510,43510,197100,PLX
2019-01-18,43510,43910,43280,43280,188280,PLX
2019-01-21,43750,44470,43190,43980,273200,PLX
2019-01-22,43750,43750,42480,42560,729490,PLX
2019-01-23,42160,42870,42160,42310,486420,PLX
2019-01-24,42310,42800,42240,42310,653530,PLX
2019-01-25,42310,42870,42310,42800,169160,PLX
2019-01-28,42950,43110,42480,42560,516670,PLX
2019-01-29,42480,42630,42240,42560,311730,PLX
2019-01-30,42560,42720,42390,42390,452470,PLX
2019-01-31,42950,43420,42390,42870,911200,PLX
2019-02-01,42630,43110,42560,42560,1199400,PLX
2019-02-11,43350,44230,43110,44230,746520,PLX
2019-02-12,44540,44780,44070,44310,957300,PLX
2019-02-13,44310,45580,44310,45420,1941970,PLX
2019-02-14,45340,45650,45030,45100,1004440,PLX
2019-02-15,45100,45820,44940,45100,1351010,PLX
2019-02-18,45340,46930,45340,46930,2268090,PLX
2019-02-19,46770,46930,45730,45890,1293550,PLX
2019-02-20,45890,45890,45030,45170,927820,PLX
2019-02-21,45260,46450,45260,46380,1723040,PLX
2019-02-22,45980,46930,45980,46530,1129680,PLX
2019-02-25,46930,47240,46620,46620,1366700,PLX
2019-02-26,46450,46530,45340,45340,1456500,PLX
2019-02-27,45730,45820,44870,45100,1784860,PLX
2019-02-28,45340,45730,44780,44940,2532900,PLX
2019-03-01,45340,46680,44940,46620,2076360,PLX
2019-03-04,46620,48360,46620,48040,3433740,PLX
2019-03-05,47650,48200,47010,47240,2693520,PLX
2019-03-06,47330,48920,47240,48920,3156200,PLX
2019-03-07,48920,49320,48440,48520,1802470,PLX
2019-03-08,48040,48920,47880,48130,2534770,PLX
2019-03-11,48130,48290,47570,48040,2131290,PLX
2019-03-12,48690,49320,48360,49320,2858810,PLX
2019-03-13,49320,49950,48990,49160,2346380,PLX
2019-03-14,49720,49720,48520,48690,1532650,PLX
2019-03-15,48690,49790,48440,49640,2274270,PLX
2019-03-18,49640,50350,49080,49720,1714570,PLX
2019-03-19,49720,49950,49160,49400,1816150,PLX
2019-03-20,49080,49320,48360,49080,1699650,PLX
2019-03-21,49320,49470,46130,47330,2115260,PLX
2019-03-22,47650,47650,46850,46930,1606140,PLX
2019-03-25,46060,46530,45650,46130,1861980,PLX
2019-03-26,46850,46850,45730,45890,1212450,PLX
2019-03-27,46850,46930,46130,46770,621860,PLX
2019-03-28,46450,47480,46130,47330,836530,PLX
2019-03-29,47330,47730,47170,47240,1256540,PLX
2019-04-01,47480,48520,47480,48520,1200470,PLX
2019-04-02,48920,49080,47880,47960,655270,PLX
2019-04-03,47960,48600,47880,48360,829910,PLX
2019-04-04,48360,48600,48200,48360,608720,PLX
2019-04-05,48360,48920,48200,48840,773290,PLX
2019-04-08,49320,49880,48920,49790,1412570,PLX
2019-04-09,50110,50110,49160,49160,1635520,PLX
2019-04-10,48760,49160,48290,48520,830410,PLX
2019-04-11,48760,48760,48200,48360,607620,PLX
2019-04-12,48130,48600,47960,48520,424050,PLX
2019-04-16,47880,48690,47880,48520,775260,PLX
2019-04-17,48760,49400,48600,48600,1350850,PLX
2019-04-18,48520,48690,47570,48130,538860,PLX
2019-04-19,48200,48520,48040,48290,457310,PLX
2019-04-22,48200,48690,47880,48130,488510,PLX
2019-04-23,48130,48990,48130,48760,757150,PLX
2019-04-24,48840,49230,48840,49160,790290,PLX
2019-04-25,48690,49080,48690,48920,354690,PLX
2019-04-26,48760,49640,48760,49550,1410390,PLX
2019-05-02,49950,49950,49320,49720,443010,PLX
2019-05-03,49720,49720,48990,48990,332640,PLX
2019-05-06,48360,48760,48130,48520,1048040,PLX
2019-05-07,48760,49080,48520,48690,417000,PLX
2019-05-08,48520,48760,48130,48440,415580,PLX
2019-05-09,48440,48690,48130,48200,536070,PLX
2019-05-10,48600,49080,48290,48760,327390,PLX
2019-05-13,48920,48920,48360,48360,257440,PLX
2019-05-14,48360,49640,48360,49640,1070900,PLX
2019-05-15,49880,51700,49880,51230,1828520,PLX
