time,open,high,low,close,volume,ticker
2019-01-14,14977,15072,14595,14881,5012350,POW
2019-01-15,14929,15072,14643,14977,2169510,POW
2019-01-16,14977,14977,14833,14881,2143250,POW
2019-01-17,14833,14977,14738,14881,2113620,POW
2019-01-18,14786,14833,14500,14500,1448780,POW
2019-01-21,14500,14833,14118,14643,1817190,POW
2019-01-22,14643,14833,14643,14786,1768140,POW
2019-01-23,14786,14786,14643,14786,977240,POW
2019-01-24,14690,14786,14643,14690,517110,POW
2019-01-25,14690,14690,14595,14690,435200,POW
2019-01-28,14690,15120,14690,15024,3064880,POW
2019-01-29,15072,15644,14929,15549,4980230,POW
2019-01-30,15549,16551,15549,16026,7552940,POW
2019-01-31,16026,16169,15644,15692,2362380,POW
2019-02-01,15597,15930,15597,15787,1619200,POW
2019-02-11,15883,16312,15883,16169,3752380,POW
2019-02-12,16217,16217,16074,16121,2686510,POW
2019-02-13,16121,16121,15930,16074,3916110,POW
2019-02-14,16026,16407,15930,16074,5089900,POW
2019-02-15,16169,16217,15978,15978,3055960,POW
2019-02-18,16074,16694,16074,16694,8489990,POW
2019-02-19,16694,16789,16121,16169,3702110,POW
2019-02-20,16121,16217,15787,15787,3391290,POW
2019-02-21,15740,16026,15597,15692,4536990,POW
2019-02-22,15692,15787,15215,15453,5377940,POW
2019-02-25,15453,15740,15453,15644,1893470,POW
2019-02-26,15644,15692,15406,15501,1675950,POW
2019-02-27,15501,15740,15501,15644,1365590,POW
2019-02-28,15692,15692,15358,15358,1692050,POW
2019-03-01,15358,15930,15310,15930,2603830,POW
2019-03-04,16026,16169,15692,15692,2024920,POW
2019-03-05,15835,16312,15692,16026,3907610,POW
2019-03-06,16169,16264,15883,16074,2418960,POW
2019-03-07,16121,16217,15930,16169,1974070,POW
2019-03-08,16026,16026,15835,15930,1326590,POW
2019-03-11,15930,15930,15406,15597,2640560,POW
2019-03-12,15787,15930,15453,15597,3079800,POW
2019-03-13,15930,15978,15740,15740,2715120,POW
2019-03-14,15787,15835,15692,15835,1449750,POW
2019-03-15,15835,15835,15549,15549,1643500,POW
2019-03-18,15549,15549,14881,15072,5694310,POW
2019-03-19,15072,15358,14786,14833,2644790,POW
2019-03-20,14833,15406,14547,15120,4660610,POW
2019-03-21,15215,15263,14595,14595,2162840,POW
2019-03-22,14643,14929,14595,14786,2211480,POW
2019-03-25,14404,14547,14166,14213,3191830,POW
2019-03-26,14452,14452,14118,14166,1539410,POW
2019-03-27,14309,14833,14309,14690,3047950,POW
2019-03-28,14643,14690,14547,14547,457770,POW
2019-03-29,14690,14738,14452,14452,696560,POW
2019-04-01,14500,14595,14356,14595,1403170,POW
2019-04-02,14786,14833,14595,14595,2096660,POW
2019-04-03,14643,14643,14500,14595,587910,POW
2019-04-04,14690,14738,14547,14547,1308300,POW
2019-04-05,14690,14833,14547,14690,1648190,POW
2019-04-08,14738,14881,14690,14833,2362440,POW
2019-04-09,14929,14929,14547,14547,999160,POW
2019-04-10,14547,14547,14309,14356,1394870,POW
2019-04-11,14404,14452,14309,14356,681090,POW
2019-04-12,14309,14452,14261,14452,600920,POW
2019-04-16,14356,14356,14213,14309,671970,POW
2019-04-17,14404,14404,13975,13975,1109360,POW
2019-04-18,13975,14261,13641,13736,1797300,POW
2019-04-19,13736,13927,13307,13450,2911730,POW
2019-04-22,13450,13689,13355,13593,644070,POW
2019-04-23,13546,13832,13355,13498,1585540,POW
2019-04-24,13546,13832,13450,13832,1116670,POW
2019-04-25,13832,13832,13593,13689,507830,POW
2019-04-26,13546,14118,13498,14118,1125830,POW
2019-05-02,14118,14166,13927,13975,741980,POW
2019-05-03,13975,14023,13879,13927,548580,POW
2019-05-06,13546,13736,13450,13593,719510,POW
2019-05-07,13593,13689,13259,13259,1733430,POW
2019-05-08,13259,13355,13021,13069,1830900,POW
2019-05-09,13212,13259,12687,12878,2839890,POW
2019-05-10,13021,13021,12735,12973,1510150,POW
2019-05-13,13164,13641,13164,13593,2065340,POW
2019-05-14,13736,14500,13736,14500,5562230,POW
2019-05-15,15024,15215,14738,14786,4049060,POW
2019-05-16,14690,14881,14500,14500,2155740,POW
2019-05-17,14595,14929,14547,14738,3015910,POW
2019-05-20,14786,14881,14690,14786,2200780,POW
2019-05-21,14786,14881,14643,14690,2095150,POW
2019-05-22,14738,15024,14690,14738,2668910,POW
2019-05-23,14643,14786,14595,14786,1087530,POW
2019-05-24,14786,15072,14595,14977,2890960,POW
2019-05-27,15072,15215,14977,15072,2310430,POW
2019-05-28,15263,15453,15072,15263,5215080,POW
2019-05-29,15072,15167,14977,14977,1945380,POW
2019-05-30,15072,15072,14929,14977,1021950,POW
2019-05-31,14977,14977,14547,14547,1733870,POW
2019-06-03,14452,14690,14213,14500,1182880,POW
2019-06-04,14500,14881,14500,14786,857300,POW
