time,open,high,low,close,volume,ticker
2019-01-02,115040,115040,106990,106990,46990,SAB
2019-01-03,106990,109670,100290,105580,98800,SAB
2019-01-04,105790,105790,101100,104580,8540,SAB
2019-01-07,104580,106650,103650,104940,12270,SAB
2019-01-08,104580,104940,102830,104940,11600,SAB
2019-01-09,104940,106650,102790,104940,25150,SAB
2019-01-10,103460,104860,102910,103220,28560,SAB
2019-01-11,103220,103420,101540,103220,38820,SAB
2019-01-14,104290,104290,102310,103220,45290,SAB
2019-01-15,102360,103170,102360,103040,23500,SAB
2019-01-16,102490,103650,102360,102790,30300,SAB
2019-01-17,102360,103560,100850,100850,41400,SAB
2019-01-18,100850,102100,100800,100850,14340,SAB
2019-01-21,102010,102010,100850,100850,4770,SAB
2019-01-22,101060,101060,99990,100540,14570,SAB
2019-01-23,100540,100850,99820,100540,16500,SAB
2019-01-24,100970,101060,99780,100200,35920,SAB
2019-01-25,99780,100590,99380,100200,26850,SAB
2019-01-28,100200,100970,99340,100200,24370,SAB
2019-01-29,100850,100850,99380,100200,18620,SAB
2019-01-30,100200,100970,99650,100200,36010,SAB
2019-01-31,100200,100420,99820,100200,21200,SAB
2019-02-01,100200,100970,99340,100200,80480,SAB
2019-02-11,100630,100730,99520,100340,42810,SAB
2019-02-12,102790,102790,100420,102270,11200,SAB
2019-02-13,102270,102310,101150,101540,118000,SAB
2019-02-14,102360,102360,101490,102360,123270,SAB
2019-02-15,103000,103120,101960,102530,48220,SAB
2019-02-18,102740,103220,102740,103220,19000,SAB
2019-02-19,102790,104160,102360,103650,25550,SAB
2019-02-20,102790,104940,102790,104940,39420,SAB
2019-02-21,104940,106650,104940,106650,24550,SAB
2019-02-22,106650,106950,106220,106220,14040,SAB
2019-02-25,106220,106570,105790,106570,31140,SAB
2019-02-26,105790,106650,105790,106220,26360,SAB
2019-02-27,106650,106650,105790,106440,7770,SAB
2019-02-28,105490,106440,103220,103220,31930,SAB
2019-03-01,101630,105790,101630,104080,31250,SAB
2019-03-04,103220,105580,102790,104080,44090,SAB
2019-03-05,105160,105280,103260,104720,10220,SAB
2019-03-06,103390,105360,103220,104890,22910,SAB
2019-03-07,104080,104460,103420,103690,25340,SAB
2019-03-08,104460,105360,103650,105360,29050,SAB
2019-03-11,105360,105920,103900,105360,20340,SAB
2019-03-12,105360,108630,105240,108380,42620,SAB
2019-03-13,107220,110950,101020,109670,54140,SAB
2019-03-14,108810,110740,108380,108810,26120,SAB
2019-03-15,109670,109670,106570,109150,40550,SAB
2019-03-18,107550,109150,105400,105400,75530,SAB
2019-03-19,105400,107300,105400,106650,37320,SAB
2019-03-20,105360,107520,105360,107300,17820,SAB
2019-03-21,107900,107940,105620,107260,17670,SAB
2019-03-22,105360,107940,105360,107940,30810,SAB
2019-03-25,107520,107520,105360,106990,5640,SAB
2019-03-26,106990,107900,106310,107860,41590,SAB
2019-03-27,107860,107940,106350,107860,12020,SAB
2019-03-28,107860,107860,106480,107520,8320,SAB
2019-03-29,108340,108340,106220,107380,122590,SAB
2019-04-01,107690,107690,106440,107380,23050,SAB
2019-04-02,107990,107990,105790,105790,21890,SAB
2019-04-03,106920,106920,105530,106180,1200,SAB
2019-04-04,107430,107860,105840,107430,38740,SAB
2019-04-05,106270,107820,106270,106650,13040,SAB
2019-04-08,107470,107470,106650,107260,2390,SAB
2019-04-09,106050,107260,105400,105400,22770,SAB
2019-04-10,107080,107080,103260,106220,39630,SAB
2019-04-11,106220,107430,103730,106440,32940,SAB
2019-04-12,106440,106880,105020,105020,5890,SAB
