time,open,high,low,close,volume,ticker
2019-01-02,3110,3110,3040,3070,2033485,SHB
2019-01-03,3070,3110,2950,2990,6882054,SHB
2019-01-04,2990,3040,2950,2990,3820522,SHB
2019-01-07,3040,3070,2990,3070,2727864,SHB
2019-01-08,3070,3070,2990,2990,1689051,SHB
2019-01-09,3040,3070,2990,3070,3395083,SHB
2019-01-10,3070,3070,2990,2990,3572910,SHB
2019-01-11,2990,3040,2990,2990,2306683,SHB
2019-01-14,3040,3070,2990,2990,5212044,SHB
2019-01-15,2990,3070,2950,3040,3934698,SHB
2019-01-16,3040,3070,2990,2990,1316558,SHB
2019-01-17,3040,3040,2990,2990,2192409,SHB
2019-01-18,3040,3040,2990,2990,2322572,SHB
2019-01-21,2990,3110,2990,3070,7800814,SHB
2019-01-22,3070,3110,2990,2990,2980253,SHB
2019-01-23,2990,3070,2990,3040,986585,SHB
2019-01-24,3040,3070,2990,3040,3546651,SHB
2019-01-25,3070,3070,2990,3040,2046634,SHB
2019-01-28,3070,3070,2990,3040,4082476,SHB
2019-01-29,3040,3040,2990,3040,1784661,SHB
2019-01-30,3040,3070,2990,3070,3354788,SHB
2019-01-31,3040,3110,3040,3070,3127875,SHB
2019-02-01,3040,3070,3040,3070,1495350,SHB
2019-02-11,3040,3290,3040,3250,9468726,SHB
2019-02-12,3210,3290,3210,3290,7180566,SHB
2019-02-13,3290,3330,3250,3290,6728714,SHB
2019-02-14,3290,3380,3250,3380,9152025,SHB
2019-02-15,3380,3380,3290,3290,6955297,SHB
2019-02-18,3290,3330,3250,3290,5593251,SHB
2019-02-19,3290,3330,3210,3210,7813159,SHB
2019-02-20,3210,3290,3210,3210,4970891,SHB
2019-02-21,3210,3290,3210,3210,2822196,SHB
2019-02-22,3250,3330,3210,3250,5760463,SHB
2019-02-25,3250,3330,3250,3250,4821870,SHB
2019-02-26,3290,3290,3210,3250,4584332,SHB
2019-02-27,3210,3290,3210,3250,4203700,SHB
2019-02-28,3250,3250,3170,3170,4771835,SHB
2019-03-01,3170,3250,3170,3250,3959591,SHB
2019-03-04,3210,3290,3210,3250,4671322,SHB
2019-03-05,3250,3290,3210,3210,4242228,SHB
2019-03-06,3210,3290,3210,3250,4924862,SHB
2019-03-07,3250,3420,3250,3380,18895406,SHB
2019-03-08,3380,3380,3290,3330,5751186,SHB
2019-03-11,3330,3380,3290,3330,2760603,SHB
2019-03-12,3330,3460,3290,3460,12186115,SHB
2019-03-13,3460,3540,3380,3380,15340168,SHB
2019-03-14,3380,3460,3380,3380,4877970,SHB
2019-03-15,3380,3460,3380,3420,6504595,SHB
2019-03-18,3420,3460,3380,3420,4357444,SHB
2019-03-19,3420,3460,3380,3380,9026975,SHB
2019-03-20,3380,3380,3290,3330,6551630,SHB
2019-03-21,3380,3380,3290,3290,6578268,SHB
2019-03-22,3290,3290,3250,3290,4204525,SHB
2019-03-25,3250,3250,3170,3170,8605126,SHB
2019-03-26,3170,3250,3170,3170,4178627,SHB
2019-03-27,3210,3290,3210,3250,5114273,SHB
2019-03-28,3290,3290,3210,3250,2475298,SHB
2019-03-29,3250,3290,3210,3210,1433927,SHB
2019-04-01,3250,3290,3210,3290,1837471,SHB
2019-04-02,3290,3330,3210,3250,1895038,SHB
2019-04-03,3250,3290,3210,3250,701166,SHB
2019-04-04,3250,3250,3210,3250,4877249,SHB
2019-04-05,3250,3250,3210,3210,698791,SHB
2019-04-08,3210,3290,3210,3290,2864982,SHB
2019-04-09,3290,3290,3210,3210,2670693,SHB
2019-04-10,3250,3250,3170,3210,2464239,SHB
2019-04-11,3210,3250,3210,3250,1650873,SHB
2019-04-12,3210,3250,3170,3210,1590806,SHB
2019-04-16,3210,3250,3110,3250,5268355,SHB
2019-04-17,3250,3250,3170,3170,1125252,SHB
2019-04-18,3210,3250,3170,3170,2975338,SHB
2019-04-19,3210,3250,3170,3210,2359687,SHB
2019-04-22,3250,3250,3170,3210,2006486,SHB
2019-04-23,3210,3250,3170,3210,2541541,SHB
2019-04-24,3210,3290,3210,3210,7729553,SHB
2019-04-25,3210,3290,3210,3210,2022765,SHB
2019-04-26,2900,3250,2900,3210,2091608,SHB
2019-05-02,3250,3250,3170,3210,3938332,SHB
2019-05-03,3210,3250,3170,3170,2207117,SHB
2019-05-06,3170,3210,3070,3110,8405734,SHB
2019-05-07,3170,3210,3110,3110,2319566,SHB
2019-05-08,3110,3170,3070,3170,2678366,SHB
2019-05-09,3170,3170,3110,3170,1431012,SHB
2019-05-10,3170,3170,3110,3170,931795,SHB
2019-05-13,3170,3210,3110,3170,5498529,SHB
2019-05-14,3170,3170,3110,3110,1391348,SHB
2019-05-15,3170,3210,3110,3170,3929938,SHB
2019-05-16,3170,3210,3110,3170,3043754,SHB
2019-05-17,3170,3210,3110,3110,7641525,SHB
2019-05-20,3170,3170,3110,3110,2016565,SHB
2019-05-21,3110,3170,3070,3070,3331288,SHB
2019-05-22,3070,3170,3040,3070,9419235,SHB
2019-05-23,3070,3110,3070,3110,1146944,SHB
2019-05-24,3110,3110,3040,3040,2495230,SHB
2019-05-27,3040,3070,3040,3040,2308990,SHB
2019-05-28,3040,3070,2990,3040,2751465,SHB
2019-05-29,3040,3070,2990,3040,3669477,SHB
2019-05-30,3040,3070,2990,3070,3612109,SHB
2019-05-31,3070,3070,2990,2990,1627897,SHB
2019-06-03,3040,3040,2950,2990,4977725,SHB
2019-06-04,2990,3040,2950,2990,2015189,SHB
2019-06-05,2990,3040,2950,2990,1871717,SHB
2019-06-06,2990,2990,2950,2990,795858,SHB
2019-06-07,2990,3040,2950,3040,2192184,SHB
2019-06-10,2990,3040,2990,2990,889916,SHB
2019-06-11,2990,3040,2950,2990,2168461,SHB
2019-06-12,2990,2990,2950,2990,914748,SHB
2019-06-13,2990,3040,2950,2990,2616757,SHB
2019-06-14,2950,3040,2950,2990,3137283,SHB
2019-06-17,2990,3040,2950,2990,1781275,SHB
2019-06-18,2990,2990,2950,2990,1269770,SHB
2019-06-19,2990,3040,2950,2990,2515936,SHB
2019-06-20,2950,3040,2950,3040,1892082,SHB
2019-06-21,3040,3040,2990,2990,2650738,SHB
2019-06-24,3040,3040,2950,2990,2293837,SHB
2019-06-25,2990,2990,2950,2990,946565,SHB
2019-06-26,2950,2990,2950,2950,1977082,SHB
2019-06-27,2950,2990,2860,2900,7044771,SHB
2019-06-28,2900,2950,2860,2900,3873888,SHB
2019-07-01,2900,2950,2900,2900,4059470,SHB
2019-07-02,2950,2950,2860,2860,5349350,SHB
2019-07-03,2860,2900,2860,2860,923914,SHB
2019-07-04,2900,2950,2860,2900,3851297,SHB
2019-07-05,2900,2950,2860,2900,2319169,SHB
2019-07-08,2900,2950,2860,2860,767395,SHB
2019-07-09,2900,2900,2860,2860,1201769,SHB
2019-07-10,2860,2900,2860,2860,1145355,SHB
2019-07-11,2860,2950,2860,2900,3212091,SHB
2019-07-12,2950,2950,2860,2860,2234725,SHB
2019-07-15,2900,2900,2860,2860,698259,SHB
2019-07-16,2900,2900,2860,2860,2837140,SHB
2019-07-17,2900,2950,2860,2900,7431226,SHB
2019-07-18,2900,2950,2860,2900,3502537,SHB
2019-07-19,2900,2950,2860,2950,3296284,SHB
2019-07-22,2950,2950,2860,2900,3553148,SHB
2019-07-23,2900,2950,2860,2900,3123309,SHB
2019-07-24,2900,2990,2900,2900,6613100,SHB
2019-07-25,2900,2950,2900,2950,1368419,SHB
2019-07-26,2950,2950,2900,2950,4236831,SHB
2019-07-29,2900,2950,2860,2900,1478717,SHB
2019-07-30,2900,2900,2820,2820,3580677,SHB
2019-07-31,2820,2860,2740,2820,9593717,SHB
2019-08-01,2820,2860,2780,2820,2954962,SHB
2019-08-02,2820,2820,2780,2820,1128787,SHB
2019-08-05,2820,2820,2740,2780,4611097,SHB
2019-08-06,2740,2780,2690,2740,3949015,SHB
2019-08-07,2740,2780,2690,2740,2091815,SHB
2019-08-08,2740,2780,2690,2740,2085509,SHB
2019-08-09,2740,2780,2740,2740,2219241,SHB
2019-08-12,2740,2780,2740,2740,1033448,SHB
