time,open,high,low,close,volume,ticker
2021-03-24,11300,11300,11300,11300,6007500,SSB
2021-03-25,12090,12090,12090,12090,1464100,SSB
2021-03-26,12930,12930,12930,12930,1078500,SSB
2021-03-29,13830,13830,13460,13830,3992200,SSB
2021-03-30,14780,14780,14730,14780,1896300,SSB
2021-03-31,15790,15790,15260,15790,4138700,SSB
2021-04-01,15770,15820,15200,15820,3793500,SSB
2021-04-02,15540,15850,15540,15850,2990700,SSB
2021-04-05,15730,15790,15370,15770,1564100,SSB
2021-04-06,15710,15710,15320,15710,1881700,SSB
2021-04-07,15710,15710,15420,15710,1208100,SSB
2021-04-08,15590,15590,15420,15480,911300,SSB
2021-04-09,15140,15540,15140,15540,955900,SSB
2021-04-12,15320,15540,15140,15540,846900,SSB
2021-04-13,15200,15420,15200,15320,433600,SSB
2021-04-14,15140,15280,15030,15030,579800,SSB
2021-04-15,14810,15140,14300,15140,1409400,SSB
2021-04-16,15140,15320,14870,15320,574400,SSB
2021-04-19,15340,15420,15200,15420,886900,SSB
2021-04-20,15480,15480,15370,15420,1465400,SSB
2021-04-22,15320,15420,15030,15420,729000,SSB
2021-04-23,15420,15420,14640,14640,853900,SSB
2021-04-26,15140,15260,14780,15030,578000,SSB
2021-04-27,14080,15090,14080,15090,705300,SSB
2021-04-28,15030,15120,14580,15030,846500,SSB
2021-04-29,14640,15120,14640,15060,1199900,SSB
2021-05-04,14610,14870,14610,14810,1055500,SSB
2021-05-05,14810,14870,14640,14830,647500,SSB
2021-05-06,14830,15870,14750,15340,1078900,SSB
2021-05-07,15420,15540,15140,15420,1122000,SSB
2021-05-10,15420,15710,15140,15710,1638300,SSB
2021-05-11,15870,15870,15540,15710,942400,SSB
2021-05-12,15710,15710,15540,15710,1429600,SSB
2021-05-13,15710,15990,15200,15870,2069300,SSB
2021-05-14,15990,16970,15420,16970,3100400,SSB
2021-05-17,17000,17950,17000,17640,3145000,SSB
2021-05-18,18000,18000,17610,17670,3096400,SSB
2021-05-19,17670,17920,16550,17810,3510600,SSB
2021-05-20,17920,17920,16610,17810,4030600,SSB
