time,open,high,low,close,volume,ticker
2019-01-02,7760,7760,7460,7640,101860,TPB
2019-01-03,7610,7760,7400,7460,87800,TPB
2019-01-04,7460,7460,7150,7430,163350,TPB
2019-01-07,7690,7750,7430,7510,100710,TPB
2019-01-08,7570,7690,7480,7530,144900,TPB
2019-01-09,7650,7920,7610,7880,790920,TPB
2019-01-10,7880,8060,7880,7980,476230,TPB
2019-01-11,8029,8029,7960,7990,395170,TPB
2019-01-14,8029,8430,7460,8430,265710,TPB
2019-01-15,8240,8240,7920,8070,442520,TPB
2019-01-16,8090,8130,7960,7960,121030,TPB
2019-01-17,8029,8029,7900,7920,103420,TPB
2019-01-18,7920,8130,7920,7960,136430,TPB
2019-01-21,7980,8220,7960,8029,289120,TPB
2019-01-22,8140,8140,7960,8029,216620,TPB
2019-01-23,7990,8340,7920,8340,952210,TPB
2019-01-24,8070,8220,8029,8130,271940,TPB
2019-01-25,8140,8160,8090,8090,361290,TPB
2019-01-28,8130,8130,8029,8060,229370,TPB
2019-01-29,8060,8070,7900,7920,277150,TPB
2019-01-30,8029,8029,7980,7990,191750,TPB
2019-01-31,8029,8070,7960,7960,194040,TPB
2019-02-01,7990,8029,7960,8010,133360,TPB
2019-02-11,8060,8130,8060,8130,328120,TPB
2019-02-12,8140,8200,8130,8140,387770,TPB
2019-02-13,8160,8200,8109,8160,308220,TPB
2019-02-14,8180,8180,8090,8140,328550,TPB
2019-02-15,8160,8180,8029,8109,536880,TPB
2019-02-18,8160,8160,8060,8130,277020,TPB
2019-02-19,8140,8140,8029,8070,280680,TPB
2019-02-20,8109,8109,7960,8070,349790,TPB
2019-02-21,8090,8109,7930,7960,475180,TPB
2019-02-22,7980,8090,7930,8029,348120,TPB
2019-02-25,8060,8260,8060,8130,331450,TPB
2019-02-26,8130,8130,7960,8029,460890,TPB
2019-02-27,8029,8029,7920,8010,585280,TPB
2019-02-28,8010,8029,7900,7930,528270,TPB
2019-03-01,7930,8010,7920,8010,463220,TPB
2019-03-04,8010,8260,7980,8109,619900,TPB
2019-03-05,8109,8130,7960,7990,620810,TPB
2019-03-06,8010,8060,7960,7990,187320,TPB
2019-03-07,8029,8130,8010,8029,285270,TPB
2019-03-08,8010,8010,7930,7980,133070,TPB
2019-03-11,7960,7990,7900,7960,59560,TPB
2019-03-12,7960,8109,7960,8109,667260,TPB
2019-03-13,8160,8180,8109,8140,548920,TPB
2019-03-14,8160,8160,8029,8140,279910,TPB
2019-03-15,8130,8160,8029,8029,348190,TPB
2019-03-18,8029,8140,8029,8130,939370,TPB
2019-03-19,8140,8160,8090,8130,771910,TPB
2019-03-20,8130,8140,8010,8109,691420,TPB
2019-03-21,8140,8140,7990,8090,504960,TPB
2019-03-22,8109,8130,8070,8109,340730,TPB
2019-03-25,8090,8090,7920,7990,470480,TPB
2019-03-26,7990,8140,7990,7990,337140,TPB
2019-03-27,8010,8090,7980,8029,321520,TPB
2019-03-28,8060,8130,8010,8109,505130,TPB
2019-03-29,8140,8160,8130,8130,502820,TPB
2019-04-01,8140,8680,8090,8650,791220,TPB
2019-04-02,8650,8680,8490,8500,729960,TPB
2019-04-03,8520,8680,8490,8650,1192390,TPB
2019-04-04,8700,8720,8580,8700,829600,TPB
2019-04-05,8720,8870,8680,8680,672710,TPB
2019-04-08,8700,8780,8660,8720,905710,TPB
2019-04-09,8780,8780,8650,8650,1599150,TPB
2019-04-10,8600,8630,8360,8480,665670,TPB
2019-04-11,8480,8600,8460,8600,869930,TPB
2019-04-12,8720,8720,8520,8580,204580,TPB
2019-04-16,8550,8580,8400,8490,351530,TPB
2019-04-17,8490,8490,8380,8460,553850,TPB
2019-04-18,8480,8500,8340,8360,726650,TPB
2019-04-19,8400,8800,8300,8460,746640,TPB
2019-04-22,8520,8520,8260,8320,809550,TPB
2019-04-23,8420,8420,8200,8300,1053980,TPB
2019-04-24,8320,8340,8200,8200,981910,TPB
2019-04-25,8220,8220,8109,8109,512850,TPB
2019-04-26,8109,8220,8109,8160,1047920,TPB
2019-05-02,8160,8200,8140,8160,879430,TPB
2019-05-03,8160,8200,8090,8140,1140300,TPB
2019-05-06,8109,8180,7990,8140,325190,TPB
2019-05-07,8140,8300,8140,8220,1689650,TPB
2019-05-08,8160,8220,8160,8180,543450,TPB
2019-05-09,8220,8340,8200,8220,1714680,TPB
2019-05-10,8360,8600,8260,8600,2575760,TPB
2019-05-13,8650,8870,8650,8760,1525660,TPB
2019-05-14,8720,8800,8680,8800,1327600,TPB
2019-05-15,8800,8850,8760,8850,2186550,TPB
2019-05-16,8890,8910,8820,8910,1602800,TPB
2019-05-17,8930,9100,8910,9100,989260,TPB
2019-05-20,9130,9160,9050,9130,560820,TPB
2019-05-21,9150,9160,9080,9150,586370,TPB
2019-05-22,9150,9250,9100,9150,545890,TPB
2019-05-23,9150,9150,8990,9030,540040,TPB
2019-05-24,8990,9100,8950,9030,606470,TPB
2019-05-27,9030,9150,9030,9100,1040400,TPB
2019-05-28,9160,9180,9080,9080,947980,TPB
2019-05-29,9080,9230,9080,9200,806450,TPB
2019-05-30,9220,9250,9180,9200,1013440,TPB
2019-05-31,9200,9200,9130,9150,996740,TPB
2019-06-03,9150,9150,8990,9100,671850,TPB
2019-06-04,9150,9160,8990,9100,520530,TPB
2019-06-05,9100,9150,9080,9150,582690,TPB
2019-06-06,9180,9180,8990,9150,460940,TPB
2019-06-07,9160,9220,9100,9220,775140,TPB
2019-06-10,9250,9350,9180,9310,920390,TPB
2019-06-11,9310,9750,9230,9750,1237320,TPB
2019-06-12,9640,9650,9490,9640,1339830,TPB
2019-06-13,9530,9720,9300,9720,3041540,TPB
2019-06-14,9720,9720,9450,9530,2732610,TPB
2019-06-17,9530,9530,9180,9370,598040,TPB
2019-06-18,8950,9570,8950,9000,787400,TPB
2019-06-19,8950,9100,8840,8950,301690,TPB
2019-06-20,9030,9050,8870,9030,690390,TPB
2019-06-21,9030,9100,8910,9030,501090,TPB
2019-06-24,9030,9030,8780,8780,495680,TPB
2019-06-25,8780,8800,8570,8760,760970,TPB
2019-06-26,8780,8780,8600,8680,612320,TPB
2019-06-27,8680,8720,8630,8680,349370,TPB
2019-06-28,8780,8780,8600,8740,347030,TPB
2019-07-01,8740,8820,8720,8760,300040,TPB
2019-07-02,8870,8870,8760,8800,423140,TPB
2019-07-03,8890,8890,8780,8840,688790,TPB
2019-07-04,8870,8890,8820,8870,943790,TPB
2019-07-05,8910,8910,8800,8840,355190,TPB
2019-07-08,8870,8870,8720,8800,365820,TPB
2019-07-09,8800,8840,8760,8800,406570,TPB
2019-07-10,8840,8840,8760,8800,374840,TPB
2019-07-11,8800,8820,8760,8780,387880,TPB
2019-07-12,8800,8800,8720,8760,227700,TPB
2019-07-15,8800,8820,8740,8820,518900,TPB
2019-07-16,8870,8990,8870,8910,1294800,TPB
2019-07-17,8990,8990,8870,8950,520850,TPB
2019-07-18,8990,8950,8840,8870,98620,TPB
2019-07-19,8990,8910,8720,8720,544670,TPB
2019-07-22,8700,8800,8660,8800,297970,TPB
2019-07-23,8890,8890,8740,8840,216670,TPB
2019-07-24,8870,8870,8720,8820,208650,TPB
2019-07-25,8800,8820,8720,8800,363670,TPB
2019-07-26,8780,8800,8720,8780,450660,TPB
2019-07-29,8780,8780,8720,8760,176250,TPB
2019-07-30,8760,8760,8660,8720,113050,TPB
2019-07-31,8740,8740,8600,8720,154340,TPB
2019-08-01,8720,8720,8580,8600,188550,TPB
2019-08-02,8580,8580,8380,8480,488500,TPB
2019-08-05,8460,8800,8420,8600,217370,TPB
2019-08-06,8600,8600,8420,8600,148200,TPB
2019-08-07,8600,8650,8520,8600,103350,TPB
2019-08-08,8600,8630,8480,8630,192020,TPB
2019-08-09,8630,8680,8520,8650,310510,TPB
2019-08-12,8720,8720,8570,8650,73710,TPB
2019-08-13,8600,8660,8420,8650,440560,TPB
2019-08-14,8650,8650,8490,8580,216610,TPB
2019-08-15,8520,8570,8480,8570,136420,TPB
2019-08-16,8570,8580,8480,8580,134220,TPB
2019-08-19,8570,8630,8480,8570,138500,TPB
2019-08-20,8570,8570,8490,8550,178760,TPB
2019-08-21,8550,8570,8430,8570,283500,TPB
