time,open,high,low,close,volume,ticker
2019-01-02,34750,35010,34490,34560,1081640,VCB
2019-01-03,34820,34880,33980,34560,1071350,VCB
2019-01-04,34370,35080,33910,35080,1307310,VCB
2019-01-07,35660,35780,35140,35200,1175810,VCB
2019-01-08,35460,35590,35140,35460,1318810,VCB
2019-01-09,35780,36170,35330,35980,1136370,VCB
2019-01-10,35980,35980,35460,35460,794870,VCB
2019-01-11,35590,35780,35400,35590,1115410,VCB
2019-01-14,35590,35780,35400,35660,759980,VCB
2019-01-15,35660,36170,35590,36040,1071080,VCB
2019-01-16,36300,36300,35460,35720,706160,VCB
2019-01-17,35660,35910,35530,35590,460060,VCB
2019-01-18,35590,35720,35330,35330,542400,VCB
2019-01-21,35200,36240,35140,35980,870530,VCB
2019-01-22,36110,36110,35590,35590,398340,VCB
2019-01-23,35400,35780,35400,35720,514720,VCB
2019-01-24,35720,35850,35460,35720,463870,VCB
2019-01-25,35780,36170,35720,35980,1008850,VCB
2019-01-28,36110,36110,35780,35780,336990,VCB
2019-01-29,35780,36560,35590,36560,973050,VCB
2019-01-30,36560,36880,36560,36560,1152720,VCB
2019-01-31,36620,37010,36620,36620,1147760,VCB
2019-02-01,36750,37010,36430,36430,827040,VCB
2019-02-11,36750,37530,36620,37460,1395030,VCB
2019-02-12,37460,38040,37270,37780,1683680,VCB
2019-02-13,37780,38620,37780,38560,1853680,VCB
2019-02-14,38560,38880,38430,38810,1629070,VCB
2019-02-15,38690,38690,38170,38230,1249180,VCB
2019-02-18,38360,38690,38360,38690,1027840,VCB
2019-02-19,38690,38810,38040,38040,1304520,VCB
2019-02-20,38230,38430,37980,38110,818480,VCB
2019-02-21,38360,38750,38110,38750,2044240,VCB
2019-02-22,38810,40230,38690,39980,2502840,VCB
2019-02-25,40300,41200,40170,40880,2079790,VCB
2019-02-26,40880,40940,39910,40620,1976570,VCB
2019-02-27,40490,40620,39720,39910,1148480,VCB
2019-02-28,39910,40300,39010,39010,2027080,VCB
2019-03-01,39330,40100,39200,40100,713500,VCB
2019-03-04,40100,40620,40100,40490,1347480,VCB
