time,open,high,low,close,volume,ticker
2019-01-02,53700,53700,52970,53550,334420,VHM
2019-01-03,52530,53330,52090,53330,475210,VHM
2019-01-04,52460,54280,51660,53910,277640,VHM
2019-01-07,54350,54350,53400,54060,186030,VHM
2019-01-08,53910,54060,53260,54060,205460,VHM
2019-01-09,54280,54280,53910,54060,92720,VHM
2019-01-10,54280,54350,53550,54350,108550,VHM
2019-01-11,54570,55810,54420,55810,241490,VHM
2019-01-14,56830,56830,55810,56320,193920,VHM
2019-01-15,56100,58210,56100,58210,297510,VHM
2019-01-16,58210,59740,57630,58500,327390,VHM
2019-01-17,58940,59160,58140,58140,214330,VHM
2019-01-18,58580,59090,57560,58650,289350,VHM
2019-01-21,59010,59010,58290,58650,411510,VHM
2019-01-22,58720,59010,57990,57990,285720,VHM
2019-01-23,58210,58290,57560,57990,214610,VHM
2019-01-24,57990,57990,56830,57410,176750,VHM
2019-01-25,57190,57340,56460,56830,226260,VHM
2019-01-28,58290,58720,56680,58720,284550,VHM
2019-01-29,59380,59380,58650,59380,334250,VHM
2019-01-30,58580,59740,58580,59740,246940,VHM
2019-01-31,59740,59740,57990,58290,773010,VHM
2019-02-01,58290,58290,57990,58290,974540,VHM
2019-02-11,59010,59010,57990,58210,353110,VHM
2019-02-12,58580,58580,57920,58290,531210,VHM
2019-02-13,58360,58870,57780,58290,506510,VHM
2019-02-14,58580,60180,58360,59670,971710,VHM
2019-02-15,59740,59740,59090,59160,422250,VHM
2019-02-18,59380,59740,58870,59740,607000,VHM
2019-02-19,60110,63900,60110,63390,1244300,VHM
2019-02-20,63390,66150,63390,65860,815580,VHM
2019-02-21,65940,70450,64989,70450,1209870,VHM
2019-02-22,69210,70310,67540,67830,950950,VHM
2019-02-25,68850,69290,66520,67030,838040,VHM
2019-02-26,67030,67760,65570,67030,1103360,VHM
2019-02-27,67760,67980,66660,67540,896260,VHM
2019-02-28,67100,67250,63750,63750,1270190,VHM
2019-03-01,64480,66590,63750,66300,806340,VHM
2019-03-04,67030,68120,65280,67900,910620,VHM
2019-03-05,67170,67680,65940,66300,1152650,VHM
2019-03-06,66300,66960,66150,66880,592410,VHM
2019-03-07,67030,69430,66960,67030,1306970,VHM
2019-03-08,67030,67680,66590,66660,699850,VHM
2019-03-11,66300,67250,65570,65570,533740,VHM
2019-03-12,66450,67470,66230,67250,864570,VHM
2019-03-13,67390,69940,67390,68490,1654850,VHM
2019-03-14,68700,68920,67610,68490,708190,VHM
2019-03-15,68490,68490,67390,67980,2496760,VHM
2019-03-18,68490,69140,68490,68700,1056390,VHM
2019-03-19,69210,69360,68120,68490,1100900,VHM
2019-03-20,68050,68050,66300,67170,1061950,VHM
2019-03-21,67760,67760,64260,64260,1009930,VHM
2019-03-22,64920,66450,64110,66370,957080,VHM
2019-03-25,65209,65209,63750,64840,793070,VHM
2019-03-26,65570,66080,65209,65500,617980,VHM
2019-03-27,66300,66300,65500,65640,389620,VHM
2019-03-28,65790,67980,65570,67830,894540,VHM
2019-03-29,68490,68700,66660,66660,1054060,VHM
2019-04-01,67320,68340,66880,67320,334480,VHM
2019-04-02,68050,68270,67030,67170,359690,VHM
2019-04-03,67170,67170,66370,67030,281350,VHM
2019-04-04,67030,67610,66520,67030,489550,VHM
2019-04-05,67390,67900,67100,67470,454260,VHM
2019-04-08,67760,68920,67540,68920,657320,VHM
2019-04-09,69210,69940,67760,68340,973210,VHM
2019-04-10,68340,68340,67250,67390,328400,VHM
2019-04-11,67610,68340,67170,68120,233360,VHM
2019-04-12,68050,68190,67030,67980,299590,VHM
2019-04-16,65570,66960,63970,66300,913790,VHM
2019-04-17,66300,66960,65349,65430,761350,VHM
2019-04-18,65500,65940,64190,64840,609680,VHM
2019-04-19,64840,65860,64840,64840,258960,VHM
2019-04-22,65349,65570,64550,65570,211620,VHM
2019-04-23,65349,65570,64769,64840,494910,VHM
2019-04-24,65349,65720,65349,65349,629420,VHM
2019-04-25,65209,65720,65129,65720,680080,VHM
2019-04-26,65720,67030,65500,67030,1070350,VHM
2019-05-02,67030,67250,66230,66590,452510,VHM
2019-05-03,66880,66880,65860,65860,621150,VHM
2019-05-06,65570,65570,64550,64840,522550,VHM
2019-05-07,65430,65430,63900,64040,576290,VHM
2019-05-08,63390,63600,62220,62370,894240,VHM
2019-05-09,61930,62370,60910,61560,983320,VHM
2019-05-10,62370,62660,61050,61200,980260,VHM
2019-05-13,61050,62070,61050,61930,691670,VHM
2019-05-14,61200,62660,61200,61930,1322520,VHM
2019-05-15,62070,63020,62070,62660,1134300,VHM
2019-05-16,62660,63460,62440,63390,953330,VHM
2019-05-17,63390,63390,62880,63170,791790,VHM
2019-05-20,63020,63240,62510,63240,638340,VHM
2019-05-21,64040,64190,63170,63170,1056700,VHM
2019-05-22,63020,64040,62800,63020,702510,VHM
2019-05-23,63090,63090,62730,63020,377180,VHM
2019-05-24,63170,63170,61560,61560,854870,VHM
2019-05-27,61560,61860,61490,61490,487560,VHM
2019-05-28,61490,61640,60840,60840,1436600,VHM
2019-05-29,61200,61350,60760,60910,921510,VHM
2019-05-30,60910,61050,60110,60180,930290,VHM
2019-05-31,60620,60620,59010,59740,720930,VHM
2019-06-03,59740,59740,57990,58720,527220,VHM
2019-06-04,58650,59010,57480,58720,557890,VHM
2019-06-05,59160,59380,58500,58720,452630,VHM
2019-06-06,58650,58870,57480,58500,582690,VHM
2019-06-07,58650,60470,58210,59890,572380,VHM
2019-06-10,60470,60470,59310,59740,596360,VHM
2019-06-11,59740,59740,59230,59670,375370,VHM
2019-06-12,59380,59380,57920,58290,893930,VHM
2019-06-13,57920,58290,55810,58290,2022580,VHM
2019-06-14,57410,58210,57270,58210,482820,VHM
2019-06-17,58210,58210,56540,56830,458320,VHM
2019-06-18,56680,56830,55590,56830,1640620,VHM
2019-06-19,56900,57050,56680,56900,729570,VHM
2019-06-20,57120,57480,56830,57120,1561250,VHM
2019-06-21,57190,57780,57190,57190,3742200,VHM
2019-06-24,57270,58580,57270,57920,1452270,VHM
2019-06-25,58140,58360,57920,57920,866490,VHM
2019-06-26,57780,57990,57340,57560,1174210,VHM
2019-06-27,57560,57560,56460,56460,815110,VHM
2019-06-28,55810,57920,55740,57780,928700,VHM
2019-07-01,57920,59010,57780,59010,1090570,VHM
2019-07-02,59010,59160,58290,59090,1087630,VHM
2019-07-03,58720,59740,58360,59740,1517660,VHM
2019-07-04,59740,61930,59670,61930,2075630,VHM
2019-07-05,61350,62660,60840,62660,1234430,VHM
2019-07-08,61930,62070,60470,60470,666020,VHM
2019-07-09,60470,61050,60110,60540,579540,VHM
2019-07-10,60540,61050,60540,60760,321230,VHM
2019-07-11,60980,61130,60540,60540,392510,VHM
2019-07-12,60540,60980,60030,60540,626820,VHM
2019-07-15,60540,60470,59230,59740,713050,VHM
2019-07-16,59740,61200,59740,61130,833350,VHM
2019-07-17,61130,62290,61130,61200,816530,VHM
2019-07-18,60470,61200,60470,61200,513470,VHM
2019-07-19,60470,62150,60760,61560,1028110,VHM
2019-07-22,61560,61640,61050,61640,471720,VHM
2019-07-23,61640,62660,61420,62510,826210,VHM
2019-07-24,62660,63170,62070,62510,542990,VHM
2019-07-25,62510,64769,62290,63750,1379690,VHM
2019-07-26,63750,64040,63090,63750,473900,VHM
2019-07-29,63750,64110,63240,63970,423030,VHM
2019-07-30,65129,65129,61200,61200,987720,VHM
2019-07-31,61930,64989,61930,64260,991720,VHM
2019-08-01,64840,66150,64110,65940,913610,VHM
2019-08-02,64550,65720,64190,65720,627380,VHM
2019-08-05,64840,65570,62070,62070,902620,VHM
2019-08-06,61560,61710,60400,60840,960830,VHM
2019-08-07,61930,62150,60690,61200,724520,VHM
2019-08-08,61940,63040,60980,62310,556040,VHM
2019-08-09,62670,62670,61640,61940,352540,VHM
