time,open,high,low,close,volume,ticker
2019-01-02,4760,4760,4680,4700,105940,VIB
2019-01-03,4700,4730,4590,4620,94022,VIB
2019-01-04,4620,4650,4620,4650,90100,VIB
2019-01-07,4650,4700,4650,4680,103010,VIB
2019-01-08,4680,4730,4650,4700,74270,VIB
2019-01-09,4700,4700,4620,4700,179328,VIB
2019-01-10,4700,4700,4680,4680,37260,VIB
2019-01-11,4700,4700,4650,4650,89760,VIB
2019-01-14,4650,4680,4620,4680,186352,VIB
2019-01-15,4650,4680,4650,4650,136947,VIB
2019-01-16,4680,4680,4650,4650,101491,VIB
2019-01-17,4680,4890,4680,4820,266939,VIB
2019-01-18,4790,4850,4680,4730,176810,VIB
2019-01-21,4650,4820,4650,4790,185630,VIB
2019-01-22,4760,4820,4730,4760,103953,VIB
2019-01-23,4700,4760,4700,4730,172040,VIB
2019-01-24,4730,4760,4730,4730,113264,VIB
2019-01-25,4680,4760,4040,4700,279045,VIB
2019-01-28,4700,4730,4650,4650,174757,VIB
2019-01-29,4650,5040,4590,4620,231879,VIB
2019-01-30,4620,4620,4550,4560,236161,VIB
2019-01-31,4590,4620,4550,4560,230369,VIB
2019-02-01,4620,4680,4560,4650,144549,VIB
2019-02-11,4650,4820,4650,4760,301836,VIB
2019-02-12,4790,4820,4040,4730,308075,VIB
2019-02-13,4760,4760,4040,4730,506627,VIB
2019-02-14,4700,4700,4620,4650,386473,VIB
2019-02-15,4680,4730,4650,4700,150918,VIB
2019-02-18,4700,4850,4700,4820,677480,VIB
2019-02-19,4790,4970,4790,4910,1060411,VIB
2019-02-20,4910,5110,4890,5070,745249,VIB
2019-02-21,5070,5130,5040,5110,775756,VIB
2019-02-22,5110,5850,4360,4990,463333,VIB
2019-02-25,5020,5070,4990,5020,277786,VIB
2019-02-26,5040,5040,4930,4990,390529,VIB
2019-02-27,4990,4990,4930,4970,321768,VIB
2019-02-28,4990,4990,4850,4890,444753,VIB
2019-03-01,4890,4930,4880,4910,156538,VIB
2019-03-04,4890,5070,4890,5020,350213,VIB
2019-03-05,4990,5020,4970,4990,253793,VIB
2019-03-06,4970,5730,4890,5070,572720,VIB
2019-03-07,5020,5170,5020,5070,277655,VIB
2019-03-08,5070,5110,4990,5020,183246,VIB
2019-03-11,5020,5070,4970,5040,273818,VIB
2019-03-12,5020,5170,5020,5130,418003,VIB
2019-03-13,5170,5340,4360,5220,933398,VIB
2019-03-14,5250,5250,4760,5220,192011,VIB
2019-03-15,5220,5220,5190,5220,263983,VIB
2019-03-18,5220,5250,5190,5220,371771,VIB
2019-03-19,5220,5250,5020,5170,386251,VIB
2019-03-20,5170,5170,4470,5110,573816,VIB
2019-03-21,5110,5130,4990,4990,293899,VIB
2019-03-22,5020,5070,4990,5070,252828,VIB
2019-03-25,4990,5020,4890,4910,318909,VIB
2019-03-26,4930,4970,4890,4890,242922,VIB
2019-03-27,4930,4970,4910,4930,141493,VIB
2019-03-28,5020,5040,4930,5020,469611,VIB
2019-03-29,5070,5130,5020,5020,513224,VIB
2019-04-01,5070,5110,5040,5070,452844,VIB
2019-04-02,5070,5130,5040,5070,443332,VIB
2019-04-03,5070,5110,5040,5070,265491,VIB
2019-04-04,5070,5170,5070,5130,457424,VIB
2019-04-05,5170,5170,5110,5130,211264,VIB
2019-04-08,5130,5170,5110,5170,438876,VIB
2019-04-09,5170,5190,5130,5130,511346,VIB
2019-04-10,5130,5130,5040,5110,226288,VIB
2019-04-11,5130,5130,5070,5110,118980,VIB
2019-04-12,5040,5110,5020,5070,99642,VIB
2019-04-16,5170,5170,5020,5070,72536,VIB
2019-04-17,5070,5110,5040,5070,237246,VIB
2019-04-18,5070,5110,5020,5020,163524,VIB
2019-04-19,5070,5070,5020,5020,84989,VIB
2019-04-22,5020,5040,4970,5020,167366,VIB
2019-04-23,4990,4990,4910,4970,207300,VIB
2019-04-24,4970,5020,4970,4990,94414,VIB
2019-04-25,5020,5020,4990,5020,80154,VIB
2019-04-26,5020,5070,4990,5020,82970,VIB
2019-05-02,5020,5020,4930,4930,219496,VIB
2019-05-03,4970,4970,4890,4890,211957,VIB
2019-05-06,4910,4910,4850,4880,151526,VIB
2019-05-07,4880,4880,4850,4880,51630,VIB
2019-05-08,4850,4850,4730,4820,225577,VIB
2019-05-09,4820,4850,4760,4790,99942,VIB
2019-05-10,4820,4850,4790,4850,183425,VIB
2019-05-13,4880,4890,4850,4880,182024,VIB
2019-05-14,4880,4890,4850,4890,152325,VIB
2019-05-15,4890,4930,4880,4910,156022,VIB
2019-05-16,4910,4970,4910,4910,138771,VIB
2019-05-17,4910,4910,4880,4910,468972,VIB
2019-05-20,4910,4910,4880,4880,400240,VIB
2019-05-21,4880,4910,4850,4890,497794,VIB
2019-05-22,4890,4890,4880,4890,224419,VIB
2019-05-23,4890,4890,4880,4880,102761,VIB
2019-05-24,4880,4880,4820,4850,229602,VIB
2019-05-27,4850,4850,4760,4820,289414,VIB
2019-05-28,4790,4790,4760,4790,128321,VIB
2019-05-29,4820,4820,4760,4760,188801,VIB
2019-05-30,4760,4790,4730,4760,210412,VIB
2019-05-31,4760,4820,4730,4760,405470,VIB
2019-06-03,4730,4760,4680,4730,260469,VIB
2019-06-04,4730,4730,4680,4730,83629,VIB
2019-06-05,4760,4890,4700,4760,139317,VIB
2019-06-06,4760,4760,4640,4640,186699,VIB
2019-06-07,4640,4680,4640,4680,60241,VIB
2019-06-10,4640,4680,4590,4590,134531,VIB
2019-06-11,4590,4620,4530,4550,398783,VIB
2019-06-12,4550,4550,4460,4500,178783,VIB
2019-06-13,4530,4530,4460,4500,87008,VIB
2019-06-14,4500,4550,4460,4550,114679,VIB
2019-06-17,4550,4590,4530,4550,178756,VIB
2019-06-18,4550,4550,4500,4530,163407,VIB
2019-06-19,4500,4530,4460,4530,118582,VIB
2019-06-20,4460,4590,4460,4550,119527,VIB
2019-06-21,4550,4590,4550,4550,103640,VIB
2019-06-24,4550,4550,4530,4550,176673,VIB
2019-06-25,4530,4550,4500,4530,110470,VIB
2019-06-26,4460,4550,4080,4530,125106,VIB
2019-06-27,4530,4550,4460,4460,346381,VIB
2019-06-28,4460,4500,4440,4500,87010,VIB
2019-07-01,4460,4550,4460,4530,67967,VIB
2019-07-02,4500,4550,4500,4530,117680,VIB
2019-07-03,4500,4640,4500,4640,270347,VIB
2019-07-04,4640,4830,4620,4740,353232,VIB
2019-07-05,4700,4760,4640,4680,120152,VIB
2019-07-08,4640,4700,4640,4680,124671,VIB
2019-07-09,4680,4680,4590,4620,330770,VIB
2019-07-10,4620,4640,4590,4620,142730,VIB
2019-07-11,4620,4640,4590,4640,123100,VIB
2019-07-12,4640,4880,4640,4850,932279,VIB
2019-07-15,4790,5060,4790,5010,1343285,VIB
2019-07-16,5010,5150,5010,5060,698955,VIB
2019-07-17,5030,5090,4970,5010,693465,VIB
2019-07-18,4970,5180,4970,5150,816850,VIB
2019-07-19,5090,5180,5090,5150,403092,VIB
2019-07-22,5150,5180,5010,5090,416059,VIB
2019-07-23,5090,5120,5060,5090,392927,VIB
2019-07-24,5090,5150,5030,5150,521440,VIB
2019-07-25,5120,5270,5120,5220,808122,VIB
2019-07-26,5220,5240,5220,5220,247162,VIB
2019-07-29,5220,5270,5120,5220,605087,VIB
2019-07-30,5180,5220,5090,5090,720903,VIB
2019-07-31,5120,5120,5060,5120,284724,VIB
2019-08-01,5120,5220,5090,5220,504959,VIB
2019-08-02,5150,5220,5120,5150,616708,VIB
2019-08-05,5150,5270,5150,5240,961081,VIB
2019-08-06,5220,5220,5120,5220,464308,VIB
2019-08-07,5220,5560,5220,5420,2129709,VIB
2019-08-08,5390,5510,5390,5480,850810,VIB
2019-08-09,5450,5540,5450,5480,1072208,VIB
2019-08-12,5450,5480,5390,5450,1009659,VIB
2019-08-13,5450,5480,5330,5360,816814,VIB
2019-08-14,5470,5720,5440,5470,613823,VIB
2019-08-15,5470,5790,5400,5760,1110270,VIB
2019-08-16,5760,6010,5720,5940,2004650,VIB
2019-08-19,5970,6080,5870,5900,999354,VIB
2019-08-20,5910,5940,5870,5900,808641,VIB
2019-08-21,5900,5970,5830,5900,849199,VIB
2019-08-22,5940,5940,5790,5790,1212959,VIB
2019-08-23,5760,5830,5760,5790,674649,VIB
2019-08-26,5790,5790,5690,5690,581693,VIB
2019-08-27,5720,5910,5690,5790,696571,VIB
2019-08-28,5790,5830,5620,5690,589189,VIB
2019-08-29,5690,5720,5620,5650,299058,VIB
2019-08-30,5650,5790,5620,5650,283709,VIB
2019-09-03,5650,5870,5620,5720,1892779,VIB
2019-09-04,5760,5760,5690,5690,470773,VIB
2019-09-05,5720,5760,5690,5720,200639,VIB
2019-09-06,5720,5760,4890,5720,394104,VIB
2019-09-09,5690,5720,4860,5580,373373,VIB
2019-09-10,5650,5650,4830,5440,1160010,VIB
2019-09-11,5500,5550,4690,5470,363566,VIB
2019-09-12,5500,5620,5500,5580,275870,VIB
2019-09-13,5550,5760,5500,5690,421173,VIB
2019-09-16,5720,5760,5620,5650,634311,VIB
2019-09-17,5650,5650,4860,5580,446116,VIB
2019-09-18,5650,5650,5550,5570,523204,VIB
2019-09-19,5560,5620,5550,5580,284498,VIB
2019-09-20,5580,5650,5560,5580,339186,VIB
2019-09-23,5580,5620,5560,5560,423166,VIB
2019-09-24,5560,5620,5560,5620,259714,VIB
2019-09-25,5580,5620,5560,5580,545662,VIB
2019-09-26,5580,5910,5580,5900,3517190,VIB
2019-09-27,5870,5910,5790,5790,1505276,VIB
2019-09-30,5870,5900,5790,5830,905936,VIB
2019-10-01,5900,5900,5760,5870,953689,VIB
2019-10-02,5830,6050,5790,5970,4110128,VIB
2019-10-03,5940,6050,5900,6010,1141200,VIB
2019-10-04,6010,6190,5940,5940,2102803,VIB
2019-10-07,5970,6010,5720,5790,1518344,VIB
2019-10-08,5910,5910,4970,5830,855694,VIB
2019-10-09,5830,5910,5830,5870,434738,VIB
2019-10-10,5900,6230,5830,5870,1500369,VIB
2019-10-11,5870,5910,5830,5900,203731,VIB
2019-10-14,5900,6050,5900,6010,1235571,VIB
2019-10-15,6010,6080,5970,6080,1318065,VIB
2019-10-16,6110,6150,5910,5940,1899559,VIB
2019-10-17,5910,5940,5830,5900,1005710,VIB
2019-10-18,5830,5900,5790,5790,945734,VIB
2019-10-21,5790,5830,5650,5690,1673569,VIB
2019-10-22,5690,5720,5650,5720,572700,VIB
2019-10-23,5720,5790,5720,5790,496720,VIB
2019-10-24,5790,5830,5720,5830,418143,VIB
2019-10-25,5760,5870,5760,5790,501944,VIB
2019-10-28,5830,5900,5760,5790,793094,VIB
2019-10-29,5790,5790,4970,5760,568237,VIB
2019-10-30,5760,5760,5720,5760,795806,VIB
2019-10-31,5760,5760,5650,5650,1057203,VIB
2019-11-01,5650,5760,5650,5760,429666,VIB
2019-11-04,5760,5830,5690,5790,511260,VIB
2019-11-05,5790,5790,5720,5760,397715,VIB
2019-11-06,5760,5870,5760,5760,835981,VIB
2019-11-07,5790,5900,5790,5870,1561682,VIB
2019-11-08,5830,5910,5790,5830,644993,VIB
2019-11-11,5830,5870,5760,5760,396485,VIB
2019-11-12,5760,5790,5760,5790,513589,VIB
2019-11-13,5790,5790,5720,5760,325803,VIB
2019-11-14,5760,5760,5690,5690,440565,VIB
2019-11-15,5720,5760,5690,5720,421823,VIB
2019-11-18,5720,5760,5650,5650,1209035,VIB
2019-11-19,5650,5720,5650,5690,359596,VIB
2019-11-20,5690,5760,5650,5690,741386,VIB
2019-11-21,5650,5650,5620,5650,423042,VIB
2019-11-22,5650,5690,5560,5650,703837,VIB
2019-11-25,5580,5620,5550,5580,246096,VIB
2019-11-26,5580,5650,5580,5580,326783,VIB
2019-11-27,5620,5650,5580,5620,245446,VIB
2019-11-28,5620,6440,5500,5560,739542,VIB
2019-11-29,5560,5560,5550,5550,380762,VIB
2019-12-02,5580,5580,5470,5500,390586,VIB
2019-12-03,5620,5690,4720,5370,748918,VIB
2019-12-04,5440,5500,5440,5500,366628,VIB
2019-12-05,5500,5500,5470,5470,524418,VIB
2019-12-06,5440,5470,5400,5440,189416,VIB
2019-12-09,5440,5470,4620,5440,223690,VIB
2019-12-10,5440,5440,5370,5400,520567,VIB
2019-12-11,5400,5440,5400,5440,281730,VIB
2019-12-12,5440,5580,5400,5440,332143,VIB
2019-12-13,5470,5550,5470,5470,247838,VIB
2019-12-16,5470,5500,5440,5470,141372,VIB
2019-12-17,5470,5470,5440,5470,214378,VIB
2019-12-18,5470,5600,5470,5500,169758,VIB
2019-12-19,5550,5580,5470,5550,362244,VIB
2019-12-20,5550,5560,5550,5560,157979,VIB
2019-12-23,5550,5640,5550,5620,254348,VIB
2019-12-24,5620,5650,5560,5620,214149,VIB
2019-12-25,5650,5790,5620,5760,702476,VIB
2019-12-26,5760,5760,5690,5720,361637,VIB
2019-12-27,5650,5760,5650,5690,348037,VIB
2019-12-30,5650,5720,5650,5650,322292,VIB
2019-12-31,5690,5690,5620,5580,198094,VIB
2020-01-02,5620,5690,5620,5690,371400,VIB
2020-01-03,5690,5720,5650,5650,391030,VIB
2020-01-06,5650,5650,5560,5560,359794,VIB
2020-01-07,5560,5580,5560,5560,114862,VIB
2020-01-08,5560,5560,5470,5470,516075,VIB
2020-01-09,5470,5580,5470,5500,559354,VIB
2020-01-10,5550,5560,5470,5500,720409,VIB
2020-01-13,5550,5620,5500,5580,527921,VIB
2020-01-14,5560,5650,5560,5650,359137,VIB
2020-01-15,5650,5650,5580,5580,379187,VIB
2020-01-16,5580,5720,5580,5650,690910,VIB
