time,open,high,low,close,volume,ticker
2019-01-02,89945,90034,86656,89234,602450,VIC
2019-01-03,88878,89145,87278,89145,496950,VIC
2019-01-04,88878,89500,87101,89412,458000,VIC
2019-01-07,89678,91545,88789,89767,589150,VIC
2019-01-08,90656,90656,88612,89767,494300,VIC
2019-01-09,89767,90567,87990,90211,659210,VIC
2019-01-10,89945,90211,88878,90123,551980,VIC
2019-01-11,89767,90123,88967,90123,569030,VIC
2019-01-14,90034,90567,89056,90123,562930,VIC
2019-01-15,90123,90211,89234,90211,711450,VIC
2019-01-16,90211,90745,89589,90656,518160,VIC
2019-01-17,90656,90834,89500,90656,325130,VIC
2019-01-18,90211,90834,89678,90834,498290,VIC
2019-01-21,90834,91011,90034,91011,404250,VIC
2019-01-22,91011,91011,90211,91011,258070,VIC
2019-01-23,90656,92167,90656,91189,299570,VIC
2019-01-24,91100,91456,90834,91367,184720,VIC
2019-01-25,91367,91989,90834,91456,306670,VIC
2019-01-28,91456,92167,91189,92167,381260,VIC
2019-01-29,93233,93233,91545,92345,225310,VIC
2019-01-30,92345,92433,91456,92345,370040,VIC
2019-01-31,92433,92878,91100,92345,651020,VIC
2019-02-01,92256,92256,87812,87812,2095840,VIC
2019-02-11,90478,92433,89945,92433,527310,VIC
2019-02-12,93233,96966,92433,96966,769110,VIC
2019-02-13,95989,97144,95278,96877,822040,VIC
2019-02-14,96877,100433,96877,100344,995310,VIC
2019-02-15,100433,100433,99544,99544,670900,VIC
2019-02-18,99988,101055,99277,101055,829150,VIC
2019-02-19,100877,103632,100877,103099,1002020,VIC
2019-02-20,102388,103899,102388,103543,678800,VIC
2019-02-21,103543,105232,103366,105232,1162700,VIC
2019-02-22,104876,105232,103632,103988,720970,VIC
2019-02-25,103988,104788,103010,103366,624890,VIC
2019-02-26,103099,103632,100877,102655,792710,VIC
2019-02-27,102655,104788,102655,104343,824620,VIC
2019-02-28,103988,104343,100521,101321,1132410,VIC
2019-03-01,101321,103988,101321,102299,739260,VIC
2019-03-04,103721,104521,102921,104343,660550,VIC
2019-03-05,104343,104699,103899,104254,706060,VIC
2019-03-06,104610,104610,104077,104610,377280,VIC
2019-03-07,104788,108876,104699,105943,1797980,VIC
2019-03-08,105765,106299,104965,104965,845280,VIC
2019-03-11,103988,105143,103988,105143,429390,VIC
2019-03-12,105765,106121,105054,105410,902200,VIC
2019-03-13,105321,106654,103988,104432,1262350,VIC
2019-03-14,103543,105588,102743,105588,1155340,VIC
2019-03-15,106032,106032,104788,105499,1704580,VIC
2019-03-18,106654,107809,105854,107809,1114570,VIC
2019-03-19,107809,108787,107276,107543,1190080,VIC
2019-03-20,107543,107543,105854,106832,780190,VIC
2019-03-21,106743,106921,103988,103988,1208480,VIC
2019-03-22,103988,105676,103988,105410,1114660,VIC
2019-03-25,103988,104254,102210,102388,886800,VIC
2019-03-26,102655,103810,100433,101055,846570,VIC
2019-03-27,102210,103010,101232,101232,772080,VIC
2019-03-28,101232,103010,101232,103010,561880,VIC
2019-03-29,103010,103810,103010,103010,1099970,VIC
2019-04-01,103454,103543,102921,103543,828430,VIC
2019-04-02,103899,104165,103277,103366,1036350,VIC
2019-04-03,102655,103099,101766,102121,464270,VIC
2019-04-04,102299,102921,101410,102299,383730,VIC
2019-04-05,102477,102566,101855,102299,235790,VIC
2019-04-08,102388,102921,102032,102655,435190,VIC
2019-04-09,103099,103099,100255,100433,1156710,VIC
2019-04-10,100433,101321,98566,99366,696000,VIC
2019-04-11,99366,102210,99366,102210,350810,VIC
2019-04-12,102210,102210,100433,100610,551990,VIC
2019-04-16,97322,100521,95989,100521,1231190,VIC
2019-04-17,98922,100433,97766,97766,960220,VIC
2019-04-18,97322,97766,93322,96877,891240,VIC
2019-04-19,97766,98299,96166,97855,414050,VIC
2019-04-22,96877,99455,95100,99455,794060,VIC
2019-04-23,99455,100433,98655,100433,534660,VIC
2019-04-24,100433,101321,99633,101144,447820,VIC
2019-04-25,101144,101144,99544,100966,503490,VIC
2019-04-26,99544,101055,99544,101055,826050,VIC
2019-05-02,101144,101232,100433,100966,190970,VIC
2019-05-03,101055,101055,99633,99988,705500,VIC
2019-05-06,99544,99810,97944,99722,290580,VIC
2019-05-07,99722,100699,98655,100077,421350,VIC
2019-05-08,99099,100166,99010,100077,348500,VIC
2019-05-09,100166,100166,99188,100077,314140,VIC
2019-05-10,100077,100433,99722,100166,289160,VIC
2019-05-13,99455,100344,99277,100344,439200,VIC
2019-05-14,99544,100877,99455,100877,539280,VIC
2019-05-15,100877,103277,100788,102477,456790,VIC
2019-05-16,102477,105676,102477,103899,773010,VIC
2019-05-17,103988,104965,103188,103899,464260,VIC
2019-05-20,103988,104432,103188,104432,406340,VIC
2019-05-21,105499,105499,103366,104432,708620,VIC
2019-05-22,104432,104965,103099,104432,382330,VIC
2019-05-23,103988,104521,103277,103988,249830,VIC
2019-05-24,102655,103277,101588,102210,628560,VIC
2019-05-27,101321,103010,101321,102210,166080,VIC
2019-05-28,103099,103099,101321,101321,503270,VIC
2019-05-29,102121,102566,101321,102388,357950,VIC
2019-05-30,102388,103277,102210,102210,572810,VIC
2019-05-31,102921,102921,101855,101855,296610,VIC
2019-06-03,101321,102655,100433,101766,281510,VIC
2019-06-04,100966,102566,100966,101855,262740,VIC
2019-06-05,102210,103010,102210,103010,244400,VIC
2019-06-06,103010,103010,101677,103010,167500,VIC
2019-06-07,103632,103988,103188,103988,286940,VIC
2019-06-10,104165,105499,104165,104521,955890,VIC
2019-06-11,104521,104699,103988,103988,308910,VIC
2019-06-12,103988,104432,103099,103099,258350,VIC
2019-06-13,102388,103010,102388,102655,267940,VIC
2019-06-14,103099,103099,101588,102655,350180,VIC
2019-06-17,103010,103543,101144,101766,415390,VIC
2019-06-18,101943,102210,101144,101321,433860,VIC
2019-06-19,103010,103010,101766,103010,135220,VIC
2019-06-20,103277,104077,102743,103099,317480,VIC
2019-06-21,101766,103810,101766,101766,594210,VIC
2019-06-24,102210,103632,102210,103454,228390,VIC
2019-06-25,103543,104165,103366,103454,510700,VIC
2019-06-26,103366,103988,103099,103899,515020,VIC
2019-06-27,103988,103988,102121,102121,398280,VIC
2019-06-28,102210,103010,101055,102832,468590,VIC
2019-07-01,103721,104165,103188,104165,562110,VIC
