time,open,high,low,close,volume,ticker
2019-01-02,80850,82500,80520,82500,403570,VNM
2019-01-03,82500,82500,80900,81780,449730,VNM
2019-01-04,81510,83180,80520,83180,498470,VNM
2019-01-07,84970,87170,83510,87170,897430,VNM
2019-01-08,87430,87430,85640,86500,448350,VNM
2019-01-09,86500,88170,85840,87770,636050,VNM
2019-01-10,87770,87820,87100,87640,301700,VNM
2019-01-11,87640,89160,87640,89160,954110,VNM
2019-01-14,88510,89840,88440,89840,611420,VNM
2019-01-15,89840,89960,89160,89770,598510,VNM
2019-01-16,89160,89630,87820,88510,562220,VNM
2019-01-17,88510,88760,87570,87960,514870,VNM
2019-01-18,88510,89770,88510,89160,545600,VNM
2019-01-21,89230,89230,88030,89030,279380,VNM
2019-01-22,89310,89840,88510,89160,399040,VNM
2019-01-23,89770,89840,89030,89490,1028650,VNM
2019-01-24,89840,90150,89370,90150,1077600,VNM
2019-01-25,90490,90700,90230,90430,813810,VNM
2019-01-28,90840,90890,90430,90840,487650,VNM
2019-01-29,91170,91170,90150,90840,371010,VNM
2019-01-30,90890,90890,90150,90150,279280,VNM
2019-01-31,90840,90840,88830,89840,812290,VNM
2019-02-01,90360,90360,88510,89840,731430,VNM
2019-02-11,89840,91760,89770,91170,1357210,VNM
2019-02-12,91820,91960,91170,91820,957440,VNM
2019-02-13,91820,92090,90620,92030,764480,VNM
2019-02-14,92030,93350,91820,92750,1341090,VNM
2019-02-15,93160,93350,92820,93280,910160,VNM
2019-02-18,93420,94810,93350,94490,1082650,VNM
2019-02-19,95160,95340,94740,94880,1974200,VNM
2019-02-20,95160,95490,95020,95160,983460,VNM
2019-02-21,95490,99220,95160,98820,1859260,VNM
2019-02-22,99140,99460,98680,99080,814320,VNM
2019-02-25,99140,101550,98940,100880,1211040,VNM
2019-02-26,99810,101140,96480,97210,806810,VNM
2019-02-27,97350,99810,97350,98280,484610,VNM
2019-02-28,98820,98820,93890,93890,976450,VNM
2019-03-01,95740,95740,94090,94090,868720,VNM
2019-03-04,94140,95740,94140,95090,876760,VNM
2019-03-05,94810,95020,94210,94490,532510,VNM
2019-03-06,94490,95020,92160,93830,711250,VNM
2019-03-07,94020,94490,92820,92950,708000,VNM
2019-03-08,92490,92820,90230,91170,980860,VNM
2019-03-11,90840,92420,90840,91550,423100,VNM
2019-03-12,91820,92820,91820,92490,560360,VNM
2019-03-13,92820,93220,91960,92030,616010,VNM
2019-03-14,92490,92490,90960,91290,920860,VNM
2019-03-15,91290,91820,90840,91170,1254050,VNM
2019-03-18,91820,92230,91490,91820,910690,VNM
2019-03-19,91820,91820,90890,91090,936230,VNM
2019-03-20,90840,92160,89960,92160,1269860,VNM
2019-03-21,92490,93090,90490,90490,885480,VNM
2019-03-22,90490,91170,90150,90840,526570,VNM
2019-03-25,89630,90840,89560,90840,582580,VNM
2019-03-26,90840,91430,90490,90840,684470,VNM
2019-03-27,90960,91290,90700,90840,682000,VNM
2019-03-28,90770,90840,89960,89960,816770,VNM
2019-03-29,89960,90840,89700,89700,1357400,VNM
2019-04-01,90150,92230,89840,92230,796720,VNM
2019-04-02,93090,93090,91360,92490,1233340,VNM
2019-04-03,92490,92490,91550,92160,683970,VNM
2019-04-04,91820,93030,91820,91820,469730,VNM
2019-04-05,91820,91820,90700,90700,1017700,VNM
2019-04-08,91430,91630,90840,91290,546190,VNM
2019-04-09,91760,91760,89840,90090,1148040,VNM
2019-04-10,89840,90840,89840,90020,873110,VNM
2019-04-11,90020,90620,90020,90230,383850,VNM
2019-04-12,90230,90560,89770,90290,684520,VNM
2019-04-16,89840,90770,89840,90490,514140,VNM
2019-04-17,90770,91090,89770,89840,864260,VNM
2019-04-18,89840,90150,89770,89960,601240,VNM
2019-04-19,90150,90230,88170,88510,599290,VNM
