time,open,high,low,close,volume,ticker
2019-01-02,6670,6670,6490,6490,1037420,VPB
2019-01-03,6490,6560,6270,6360,3018830,VPB
2019-01-04,6330,6420,6140,6340,1928210,VPB
2019-01-07,6470,6560,6420,6460,1645360,VPB
2019-01-08,6420,6470,6340,6420,834840,VPB
2019-01-09,6440,6550,6420,6420,2027690,VPB
2019-01-10,6440,6510,6420,6440,988700,VPB
2019-01-11,6470,6490,6380,6400,1158060,VPB
2019-01-14,6400,6440,6310,6380,1149670,VPB
2019-01-15,6380,6480,6360,6460,1168800,VPB
2019-01-16,6470,6670,6470,6660,3962960,VPB
2019-01-17,6640,6670,6360,6360,1419860,VPB
2019-01-18,6470,6530,6420,6460,1672450,VPB
2019-01-21,6470,6770,6470,6690,2531400,VPB
2019-01-22,6690,6820,6580,6580,2282970,VPB
2019-01-23,6550,6670,6550,6670,1413360,VPB
2019-01-24,6670,6770,6600,6770,2058500,VPB
2019-01-25,6730,6800,6670,6710,1353240,VPB
2019-01-28,6710,6750,6530,6600,1415780,VPB
2019-01-29,6600,6690,6510,6690,1602910,VPB
2019-01-30,6710,6750,6660,6670,1292190,VPB
2019-01-31,6710,6820,6710,6770,2385210,VPB
2019-02-01,6770,6800,6640,6710,3212780,VPB
2019-02-11,6790,7100,6750,7100,3188300,VPB
2019-02-12,7170,7230,7080,7150,3980620,VPB
2019-02-13,7170,7260,7150,7210,3440610,VPB
2019-02-14,7210,7230,7100,7120,2299990,VPB
2019-02-15,7100,7210,7010,7120,2818810,VPB
2019-02-18,7170,7240,7150,7210,1634010,VPB
2019-02-19,7260,7300,7100,7100,2998200,VPB
2019-02-20,7080,7170,7010,7080,2173510,VPB
2019-02-21,7130,7170,7010,7170,2551090,VPB
2019-02-22,7080,7240,7060,7150,2761050,VPB
2019-02-25,7260,7300,7190,7210,2504220,VPB
2019-02-26,7170,7240,7060,7130,2884870,VPB
2019-02-27,7130,7150,7060,7100,1606160,VPB
2019-02-28,7100,7100,6890,6930,2771900,VPB
2019-03-01,6930,7010,6890,7010,2197980,VPB
2019-03-04,7010,7240,7010,7170,3088630,VPB
2019-03-05,7150,7260,7120,7170,3627360,VPB
2019-03-06,7170,7190,7080,7130,1409590,VPB
2019-03-07,7130,7230,7100,7130,2681570,VPB
2019-03-08,7060,7120,7010,7050,2774400,VPB
2019-03-11,7050,7100,7020,7060,799600,VPB
2019-03-12,7100,7210,7020,7210,2561330,VPB
2019-03-13,7280,7410,7260,7370,4507910,VPB
2019-03-14,7350,7370,7260,7260,1640600,VPB
2019-03-15,7240,7300,7230,7300,1720670,VPB
2019-03-18,7320,7540,7320,7540,4480400,VPB
2019-03-19,7540,7540,7320,7340,1689000,VPB
2019-03-20,7320,7340,7210,7280,2170730,VPB
2019-03-21,7280,7320,7040,7040,3158580,VPB
2019-03-22,7120,7120,6990,7040,2493250,VPB
2019-03-25,6860,6890,6690,6770,3398760,VPB
2019-03-26,6800,6860,6770,6770,1641900,VPB
2019-03-27,6800,6930,6750,6930,2064200,VPB
2019-03-28,6840,6930,6840,6860,1091520,VPB
2019-03-29,6890,6910,6750,6770,2449530,VPB
2019-04-01,6800,6860,6750,6790,1525280,VPB
2019-04-02,6860,6860,6750,6750,1690450,VPB
2019-04-03,6730,6750,6620,6670,3328450,VPB
2019-04-04,6690,6750,6670,6690,1017850,VPB
2019-04-05,6690,6750,6670,6710,1894700,VPB
2019-04-08,6730,6730,6560,6660,1657550,VPB
2019-04-09,6670,6750,6660,6670,2070500,VPB
2019-04-10,6670,6690,6510,6660,2382980,VPB
2019-04-11,6670,6670,6560,6580,900020,VPB
2019-04-12,6550,6560,6490,6510,1735450,VPB
2019-04-16,6470,6490,6310,6420,2661560,VPB
2019-04-17,6440,6560,6420,6510,2071330,VPB
2019-04-18,6510,6530,6420,6470,1293420,VPB
2019-04-19,6490,6490,6420,6490,1035910,VPB
2019-04-22,6490,6490,6360,6480,1251570,VPB
2019-04-23,6420,6490,6380,6400,1540170,VPB
2019-04-24,6460,6480,6380,6470,1338870,VPB
2019-04-25,6470,6470,6380,6380,916900,VPB
2019-04-26,6380,6440,6340,6380,1437530,VPB
2019-05-02,6420,6420,6280,6340,1096600,VPB
2019-05-03,6310,6340,6230,6340,2442790,VPB
2019-05-06,6270,6280,6030,6180,2312460,VPB
2019-05-07,6200,6230,6110,6110,1079800,VPB
2019-05-08,6050,6120,6030,6110,1565680,VPB
2019-05-09,6090,6160,6070,6110,1826500,VPB
2019-05-10,6140,6160,6100,6140,1422780,VPB
2019-05-13,6140,6280,6120,6160,1390780,VPB
2019-05-14,6120,6200,6110,6200,1398440,VPB
2019-05-15,6220,6330,6200,6330,1841710,VPB
2019-05-16,6340,6380,6280,6330,1825590,VPB
2019-05-17,6300,6330,6250,6310,991430,VPB
2019-05-20,6270,6340,6250,6300,1397930,VPB
2019-05-21,6330,6400,6310,6360,1825510,VPB
2019-05-22,6400,6470,6360,6400,2448820,VPB
2019-05-23,6330,6400,6270,6280,1249510,VPB
2019-05-24,6230,6360,6220,6250,1086690,VPB
2019-05-27,6230,6280,6180,6280,952130,VPB
2019-05-28,6330,6330,6200,6200,1012920,VPB
2019-05-29,6230,6230,6120,6120,916770,VPB
2019-05-30,6120,6180,6100,6160,1907020,VPB
2019-05-31,6140,6200,6100,6100,965850,VPB
2019-06-03,6090,6100,5870,6030,2063880,VPB
2019-06-04,6000,6050,5900,6030,1808710,VPB
2019-06-05,6030,6070,5980,5980,1091510,VPB
2019-06-06,5900,6010,5870,6010,1321980,VPB
2019-06-07,6030,6070,6000,6010,1571060,VPB
2019-06-10,6090,6100,5920,6070,1847070,VPB
2019-06-11,6090,6100,6010,6090,1180300,VPB
2019-06-12,6090,6100,6050,6090,1461730,VPB
2019-06-13,6050,6160,6050,6100,2107810,VPB
2019-06-14,6110,6280,6100,6230,3211970,VPB
2019-06-17,6230,6270,6200,6230,2330100,VPB
2019-06-18,6200,6230,6100,6180,2691590,VPB
2019-06-19,6220,6250,6100,6220,1292370,VPB
2019-06-20,6160,6440,6160,6440,4347040,VPB
2019-06-21,6470,6490,6400,6470,2318070,VPB
2019-06-24,6440,6510,6420,6470,2006700,VPB
2019-06-25,6460,6510,6440,6490,2603250,VPB
2019-06-26,6470,6490,6440,6440,1206480,VPB
2019-06-27,6380,6440,6280,6310,2671610,VPB
2019-06-28,6270,6340,6180,6330,1963890,VPB
2019-07-01,6330,6490,6310,6490,1679610,VPB
2019-07-02,6480,6560,6460,6470,1620120,VPB
2019-07-03,6470,6470,6360,6440,1335150,VPB
2019-07-04,6440,6510,6440,6480,1308820,VPB
2019-07-05,6510,6600,6480,6490,1625650,VPB
2019-07-08,6440,6490,6360,6480,1308420,VPB
2019-07-09,6480,6480,6400,6470,1034110,VPB
2019-07-10,6470,6530,6460,6490,1315600,VPB
2019-07-11,6530,6580,6490,6580,2589340,VPB
2019-07-12,6600,6640,6530,6530,2054520,VPB
2019-07-15,6600,6600,6490,6560,1860210,VPB
2019-07-16,6560,6620,6560,6600,1034460,VPB
2019-07-17,6580,6620,6470,6490,2774810,VPB
2019-07-18,6470,6490,6420,6470,1995060,VPB
2019-07-19,6470,6510,6420,6490,2494510,VPB
2019-07-22,6440,6490,6360,6400,1046360,VPB
2019-07-23,6400,6440,6340,6400,1211300,VPB
2019-07-24,6420,6420,6330,6400,761050,VPB
2019-07-25,6400,6400,6300,6300,1462890,VPB
2019-07-26,6280,6330,6230,6280,861490,VPB
2019-07-29,6280,6310,6230,6280,922180,VPB
2019-07-30,6280,6310,6220,6250,897070,VPB
2019-07-31,6270,6270,6180,6220,1469310,VPB
2019-08-01,6220,6230,6120,6200,800860,VPB
2019-08-02,6230,6490,6160,6380,3841410,VPB
2019-08-05,6380,6490,6340,6340,3066850,VPB
2019-08-06,6230,6300,6180,6300,2079640,VPB
2019-08-07,6300,6300,6220,6280,1287750,VPB
2019-08-08,6230,6300,6200,6270,1241320,VPB
2019-08-09,6230,6400,6200,6360,1900110,VPB
2019-08-12,6360,6400,6300,6360,851270,VPB
2019-08-13,6380,6490,6330,6400,3018430,VPB
2019-08-14,6470,6480,6420,6460,1094770,VPB
2019-08-15,6330,6470,6330,6470,1327430,VPB
2019-08-16,6470,6600,6420,6510,3323690,VPB
2019-08-19,6530,6580,6480,6510,1049300,VPB
2019-08-20,6530,6550,6490,6530,812870,VPB
2019-08-21,6530,6620,6490,6620,2071110,VPB
2019-08-22,6620,6670,6560,6640,1529840,VPB
2019-08-23,6670,6670,6550,6640,1582910,VPB
2019-08-26,6600,6750,6560,6730,3580730,VPB
2019-08-27,6730,6950,6730,6840,3137460,VPB
2019-08-28,6840,6860,6770,6800,933290,VPB
2019-08-29,6800,6840,6730,6840,1040260,VPB
2019-08-30,6800,6860,6790,6800,1126020,VPB
2019-09-03,6820,6840,6530,6800,1123930,VPB
2019-09-04,6730,6770,6640,6640,1331980,VPB
2019-09-05,6690,6790,6670,6790,1364320,VPB
