time,open,high,low,close,volume,ticker
2019-01-02,27633,28556,27585,27973,2061280,VRE
2019-01-03,28119,28119,26711,26905,1247100,VRE
2019-01-04,26711,27002,25934,26711,982790,VRE
2019-01-07,27196,27682,27051,27099,905730,VRE
2019-01-08,27099,27099,26711,26808,687890,VRE
2019-01-09,26808,28313,26808,28216,2139870,VRE
2019-01-10,28265,28653,28168,28605,1055420,VRE
2019-01-11,28605,29139,28605,29042,1834420,VRE
2019-01-14,29139,29479,28945,29479,1377450,VRE
2019-01-15,29479,30110,29333,30110,1723800,VRE
2019-01-16,30110,30547,29819,30547,1559790,VRE
2019-01-17,30499,30499,29236,29236,1081730,VRE
2019-01-18,29139,29722,28410,28410,664540,VRE
2019-01-21,28507,28847,28168,28459,470290,VRE
2019-01-22,28459,28653,28070,28119,644870,VRE
2019-01-23,27973,28362,27633,28265,574730,VRE
2019-01-24,27925,28847,27925,28362,806970,VRE
2019-01-25,28313,28556,28265,28362,476020,VRE
2019-01-28,28362,28556,28362,28410,795190,VRE
2019-01-29,28605,28605,28265,28556,1013990,VRE
2019-01-30,28605,28605,28313,28459,666640,VRE
2019-01-31,28653,28653,28119,28362,1650390,VRE
2019-02-01,28362,28459,26759,28168,1869640,VRE
2019-02-11,28556,28605,28313,28556,844700,VRE
2019-02-12,28847,29624,28459,28847,2751810,VRE
2019-02-13,28945,29624,28896,29527,1989390,VRE
2019-02-14,29819,30596,29576,30596,2560640,VRE
2019-02-15,30256,30596,29964,30062,1853120,VRE
2019-02-18,30013,30790,30013,30741,1364860,VRE
2019-02-19,30741,31373,30450,30693,3160210,VRE
2019-02-20,30693,31421,30693,31179,1960580,VRE
2019-02-21,31081,33024,31033,33024,3820470,VRE
2019-02-22,33315,34918,33024,33995,4170500,VRE
2019-02-25,34481,34772,32247,32927,3408000,VRE
2019-02-26,32830,33801,32344,33510,2184700,VRE
2019-02-27,33898,34190,33461,33510,1418370,VRE
2019-02-28,33073,33413,32053,32053,4831010,VRE
2019-03-01,32490,33024,32247,33024,1236900,VRE
2019-03-04,33024,33704,33024,33364,1639580,VRE
2019-03-05,33121,33607,32927,33218,2071350,VRE
2019-03-06,33218,33510,32830,33510,1289640,VRE
2019-03-07,33413,34432,33413,33995,2793560,VRE
2019-03-08,33558,34190,33510,33704,1264280,VRE
2019-03-11,33510,34481,33267,34481,2248780,VRE
2019-03-12,34578,35744,34578,35647,3752290,VRE
2019-03-13,35792,36812,35744,36715,4918140,VRE
2019-03-14,36715,38803,36618,36909,4400440,VRE
2019-03-15,36812,36909,35987,36424,2999450,VRE
2019-03-18,36909,37395,36521,36909,1512670,VRE
2019-03-19,36909,37055,35938,36618,1903060,VRE
2019-03-20,36035,36132,34675,35112,4855120,VRE
2019-03-21,35112,35598,33510,33510,3612740,VRE
2019-03-22,34287,34481,33801,33995,2962930,VRE
2019-03-25,33024,33315,31616,32393,5659310,VRE
2019-03-26,32927,32927,31033,31956,3098380,VRE
2019-03-27,32247,33413,31761,32976,2343980,VRE
2019-03-28,32684,33267,32538,32830,1706660,VRE
2019-03-29,33073,34238,32830,33607,4544300,VRE
2019-04-01,33801,35112,33704,35064,3530060,VRE
2019-04-02,35355,36132,34870,34967,3250020,VRE
2019-04-03,34675,34870,34141,34481,2601580,VRE
2019-04-04,34481,35112,34287,34481,1858440,VRE
2019-04-05,34821,35210,34627,34772,1466970,VRE
2019-04-08,34772,35161,34384,34772,1168690,VRE
2019-04-09,35161,35210,33413,33607,3127600,VRE
2019-04-10,33510,34190,33170,33995,2632930,VRE
2019-04-11,34287,34335,33655,33801,650930,VRE
2019-04-12,33315,34044,33315,33947,1032540,VRE
2019-04-16,33024,33315,32441,33024,2634720,VRE
2019-04-17,33024,33267,32538,32636,1854430,VRE
2019-04-18,32636,33364,32441,32927,1830550,VRE
2019-04-19,33170,33364,32878,32927,683530,VRE
2019-04-22,32636,33024,32636,32878,966920,VRE
2019-04-23,32878,34141,32830,33704,2128550,VRE
2019-04-24,33995,34384,33898,34384,1576360,VRE
2019-04-25,34578,34578,33898,34141,1580250,VRE
2019-04-26,33995,34967,33995,34967,3071980,VRE
2019-05-02,35452,35452,34870,35404,2626910,VRE
2019-05-03,35404,35841,34870,35064,5455180,VRE
2019-05-06,34093,34772,33995,34190,1798750,VRE
2019-05-07,34384,34772,33995,34093,1143530,VRE
2019-05-08,33704,34238,33607,34093,1476590,VRE
2019-05-09,34190,34384,33898,34093,913060,VRE
2019-05-10,34287,34675,33801,34335,1571780,VRE
2019-05-13,34238,35161,34238,34967,1843190,VRE
2019-05-14,34675,35258,34675,34967,1447500,VRE
2019-05-15,35258,35841,35112,35549,2555920,VRE
2019-05-16,35647,36229,35549,35549,4834930,VRE
2019-05-17,36000,36550,36000,36000,3878080,VRE
2019-05-20,36000,36500,35600,36150,1340870,VRE
2019-05-21,36300,36300,35900,36000,1863050,VRE
2019-05-22,35800,36350,35750,35800,1126920,VRE
2019-05-23,35500,35850,35200,35250,1688590,VRE
2019-05-24,35250,35700,34800,35000,2774230,VRE
2019-05-27,34850,35250,34850,35250,1049230,VRE
2019-05-28,35300,35350,34500,34600,1920160,VRE
2019-05-29,34400,35100,34200,34800,2330360,VRE
2019-05-30,34950,35300,34500,35000,1094030,VRE
2019-05-31,35000,35100,34500,34800,2071330,VRE
2019-06-03,34250,34650,33800,33800,1803890,VRE
2019-06-04,34000,34400,33800,34300,970280,VRE
2019-06-05,34500,34650,34150,34350,676220,VRE
2019-06-06,34350,34550,33900,34450,896230,VRE
2019-06-07,34600,34800,34300,34750,844720,VRE
2019-06-10,34800,35200,34800,35050,1738860,VRE
