company,winrate_5,winrate_10,winrate_15,winrate_20,winrate_25,winrate_30
SSI,53.333333333333336,53.333333333333336,46.666666666666664,46.666666666666664,33.33333333333333,40.0
BCM,36.84210526315789,33.33333333333333,35.294117647058826,47.05882352941176,47.05882352941176,43.75
VHM,33.33333333333333,58.333333333333336,41.66666666666667,58.333333333333336,58.333333333333336,66.66666666666666
VIC,35.0,25.0,47.368421052631575,57.89473684210527,52.63157894736842,47.368421052631575
VRE,31.25,43.75,43.75,37.5,43.75,43.75
BVH,44.44444444444444,38.88888888888889,44.44444444444444,47.05882352941176,47.05882352941176,47.05882352941176
POW,22.22222222222222,38.88888888888889,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333
GAS,56.25,43.75,50.0,62.5,50.0,50.0
ACB,47.368421052631575,36.84210526315789,47.368421052631575,61.111111111111114,66.66666666666666,66.66666666666666
BID,75.0,75.0,66.66666666666666,66.66666666666666,66.66666666666666,75.0
CTG,73.33333333333333,73.33333333333333,53.333333333333336,80.0,66.66666666666666,66.66666666666666
HDB,35.0,45.0,40.0,40.0,47.368421052631575,47.368421052631575
MBB,41.17647058823529,47.05882352941176,41.17647058823529,52.94117647058824,52.94117647058824,52.94117647058824
SSB,0.0,0.0,,,,
SHB,17.647058823529413,25.0,18.75,43.75,50.0,43.75
STB,46.666666666666664,46.666666666666664,46.666666666666664,46.666666666666664,53.333333333333336,53.333333333333336
TCB,66.66666666666666,53.333333333333336,46.666666666666664,60.0,53.333333333333336,33.33333333333333
TPB,33.33333333333333,23.809523809523807,52.38095238095239,33.33333333333333,38.095238095238095,33.33333333333333
VCB,68.75,75.0,75.0,73.33333333333333,60.0,66.66666666666666
VIB,64.28571428571429,78.57142857142857,64.28571428571429,71.42857142857143,61.53846153846154,61.53846153846154
VPB,69.23076923076923,46.15384615384615,69.23076923076923,69.23076923076923,61.53846153846154,84.61538461538461
HPG,60.0,66.66666666666666,73.33333333333333,71.42857142857143,71.42857142857143,64.28571428571429
GVR,72.22222222222221,77.77777777777779,70.58823529411765,68.75,68.75,75.0
MSN,38.88888888888889,27.77777777777778,33.33333333333333,50.0,33.33333333333333,33.33333333333333
VNM,56.25,37.5,50.0,53.333333333333336,40.0,33.33333333333333
SAB,42.857142857142854,42.857142857142854,42.857142857142854,35.714285714285715,35.714285714285715,42.857142857142854
VJC,56.25,43.75,53.333333333333336,53.333333333333336,46.666666666666664,53.333333333333336
MWG,52.94117647058824,62.5,50.0,62.5,56.25,62.5
PLX,40.0,60.0,46.666666666666664,46.666666666666664,40.0,46.666666666666664
FPT,63.1578947368421,61.111111111111114,72.22222222222221,70.58823529411765,70.58823529411765,82.35294117647058
