company,winrate_5,winrate_10,winrate_15,winrate_20,winrate_25,winrate_30
SSI,20.0,80.0,80.0,20.0,20.0,20.0
BCM,50.0,50.0,50.0,100.0,100.0,0.0
VHM,50.0,50.0,66.66666666666666,83.33333333333334,83.33333333333334,83.33333333333334
VIC,100.0,100.0,100.0,100.0,100.0,100.0
VRE,50.0,100.0,100.0,100.0,100.0,100.0
BVH,83.33333333333334,83.33333333333334,83.33333333333334,66.66666666666666,66.66666666666666,66.66666666666666
POW,33.33333333333333,0.0,0.0,33.33333333333333,33.33333333333333,0.0
GAS,0.0,50.0,100.0,100.0,100.0,100.0
ACB,0.0,100.0,100.0,100.0,100.0,100.0
BID,0.0,0.0,100.0,100.0,100.0,100.0
CTG,100.0,100.0,100.0,100.0,100.0,100.0
HDB,100.0,75.0,25.0,75.0,75.0,100.0
MBB,100.0,100.0,100.0,100.0,100.0,100.0
SSB,0.0,0.0,,,,
SHB,0.0,50.0,100.0,50.0,50.0,50.0
STB,50.0,50.0,50.0,100.0,100.0,100.0
TCB,0.0,0.0,0.0,100.0,0.0,0.0
TPB,0.0,0.0,100.0,100.0,100.0,0.0
VCB,50.0,75.0,75.0,75.0,75.0,75.0
VIB,0.0,33.33333333333333,66.66666666666666,66.66666666666666,66.66666666666666,100.0
VPB,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,100.0
HPG,66.66666666666666,33.33333333333333,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
GVR,0.0,0.0,50.0,50.0,50.0,100.0
MSN,50.0,50.0,50.0,50.0,50.0,50.0
VNM,100.0,100.0,100.0,100.0,100.0,100.0
SAB,100.0,80.0,80.0,60.0,80.0,80.0
VJC,50.0,50.0,50.0,50.0,50.0,50.0
MWG,50.0,50.0,100.0,100.0,100.0,100.0
PLX,0.0,33.33333333333333,100.0,100.0,100.0,66.66666666666666
FPT,0.0,100.0,100.0,100.0,100.0,100.0
