Company,Final Portfolio Value,Total Profit,Rate of Return
SSI,191818384,31818384,19.886490000000002
BCM,158776640,-1223360,-0.7646
VHM,134942120,-25057880,-15.661175
VIC,144081029,-15918971,-9.949356875
VRE,165454800,5454800,3.4092499999999997
BVH,130644730,-29355270,-18.34704375
POW,177886749,17886749,11.179218125
GAS,224368530,64368530,40.23033125
ACB,225195950,65195950,40.747468749999996
BID,214889180,54889180,34.3057375
CTG,222495610,62495610,39.05975625
HDB,241797040,81797040,51.123149999999995
MBB,166026500,6026500,3.7665625
SSB,171147720,11147720,6.967325000000001
SHB,140096104,-19903896,-12.439935
STB,170119180,10119180,6.324487500000001
TCB,128051680,-31948320,-19.9677
TPB,210623020,50623020,31.639387499999998
VCB,230943980,70943980,44.3399875
VIB,176447270,16447270,10.27954375
VPB,209313240,49313240,30.820775
HPG,154837590,-5162410,-3.22650625
GVR,146399610,-13600390,-8.50024375
MSN,124750140,-35249860,-22.0311625
VNM,163373520,3373520,2.10845
SAB,176393681,16393681,10.246050625
VJC,165662400,5662400,3.5389999999999997
MWG,156156110,-3843890,-2.40243125
PLX,144417290,-15582710,-9.73919375
FPT,210162680,50162680,31.351675
