Company,Final Portfolio Value,Total Profit,Rate of Return
SSI,379092733,219092733,136.932958125
BCM,186765040,26765040,16.72815
VHM,131940250,-28059750,-17.53734375
VIC,175400265,15400265,9.625165625
VRE,143011050,-16988950,-10.61809375
BVH,135717610,-24282390,-15.17649375
POW,117169102,-42830898,-26.76931125
GAS,249616460,89616460,56.0102875
ACB,188183590,28183590,17.61474375
BID,192469920,32469920,20.2937
CTG,188395250,28395250,17.74703125
HDB,186855120,26855120,16.78445
MBB,222639060,62639060,39.149412500000004
SSB,140251290,-19748710,-12.34294375
SHB,309755045,149755045,93.596903125
STB,230236279,70236279,43.897674375
TCB,160609390,609390,0.38086875
TPB,173746610,13746610,8.591631249999999
VCB,145625926,-14374074,-8.98379625
VIB,158811460,-1188540,-0.7428375
VPB,159683960,-316040,-0.197525
HPG,225930969,65930969,41.206855625
GVR,125778180,-34221820,-21.388637499999998
MSN,177071042,17071042,10.66940125
VNM,114022200,-45977800,-28.736125
SAB,153223260,-6776740,-4.2354625
VJC,139062000,-20938000,-13.08625
MWG,282517060,122517060,76.57316250000001
PLX,142291190,-17708810,-11.06800625
FPT,263740278,103740278,64.83767375000001
