Company,Final Portfolio Value,Total Profit,Rate of Return
SSI,160694540,694540,0.4340875
BCM,209207344,49207344,30.754589999999997
VHM,155986830,-4013170,-2.5082312499999997
VIC,160793696,793696,0.49606
VRE,169262950,9262950,5.78934375
BVH,140647050,-19352950,-12.095593749999999
POW,187228696,27228696,17.017935
GAS,233859050,73859050,46.16190625
ACB,252993350,92993350,58.12084374999999
BID,303302720,143302720,89.5642
CTG,171810920,11810920,7.381825
HDB,282643440,122643440,76.65214999999999
MBB,237089740,77089740,48.181087500000004
SSB,261602160,101602160,63.50135
SHB,181554000,21554000,13.471250000000001
STB,142501750,-17498250,-10.93640625
TCB,161025440,1025440,0.6409
TPB,215217700,55217700,34.5110625
VCB,197769600,37769600,23.605999999999998
VIB,138249490,-21750510,-13.594068749999998
VPB,182923680,22923680,14.327300000000001
HPG,174546040,14546040,9.091275
GVR,113018220,-46981780,-29.363612500000002
MSN,130802830,-29197170,-18.24823125
VNM,130781620,-29218380,-18.2614875
SAB,142639340,-17360660,-10.850412500000001
VJC,145278200,-14721800,-9.201125000000001
MWG,146265030,-13734970,-8.584356249999999
PLX,125253730,-34746270,-21.71641875
FPT,322339520,162339520,101.4622
