Company,Final Portfolio Value,Total Profit,Rate of Return
SSI,235453884,75453884,47.1586775
BCM,154259910,-5740090,-3.58755625
VHM,111291920,-48708080,-30.44255
VIC,141790127,-18209873,-11.381170625000001
VRE,182975550,22975550,14.35971875
BVH,115742810,-44257190,-27.660743749999998
POW,186176902,26176902,16.36056375
GAS,242903960,82903960,51.814975
ACB,288208000,128208000,80.13
BID,198764350,38764350,24.227718749999998
CTG,255904260,95904260,59.94016250000001
HDB,323639360,163639360,102.27459999999999
MBB,162583270,2583270,1.6145437499999997
SSB,158429420,-1570580,-0.9816125
SHB,119140290,-40859710,-25.537318749999997
STB,151676050,-8323950,-5.2024687499999995
TCB,112956880,-47043120,-29.40195
TPB,195937570,35937570,22.46098125
VCB,304454990,144454990,90.28436875
VIB,155652710,-4347290,-2.7170562499999997
VPB,276406540,116406540,72.7540875
HPG,176913930,16913930,10.57120625
GVR,121372110,-38627890,-24.142431249999998
MSN,104089720,-55910280,-34.943925
VNM,165239330,5239330,3.2745812499999998
SAB,198979120,38979120,24.36195
VJC,171866900,11866900,7.4168125
MWG,154915450,-5084550,-3.17784375
PLX,127238210,-32761790,-20.47611875
FPT,218294120,58294120,36.433825
