Company,Final Portfolio Value,Total Profit,Rate of Return
SSI,169452323,9452323,5.907701875
BCM,141412550,-18587450,-11.61715625
VHM,128570890,-31429110,-19.64319375
VIC,106231558,-53768442,-33.605276249999996
VRE,154663900,-5336100,-3.3350625000000003
BVH,147259000,-12741000,-7.963125
POW,172921830,12921830,8.07614375
GAS,116101926,-43898074,-27.436296249999998
ACB,251236080,91236080,57.02255
BID,160466260,466260,0.2914125
CTG,169860680,9860680,6.1629249999999995
HDB,183600790,23600790,14.750493749999999
MBB,196628040,36628040,22.892525
SSB,143401850,-16598150,-10.37384375
SHB,228807230,68807230,43.004518749999995
STB,157481050,-2518950,-1.57434375
TCB,145778760,-14221240,-8.888275
TPB,228207058,68207058,42.62941125
VCB,213227568,53227568,33.26723
VIB,159243954,-756046,-0.47252874999999994
VPB,178548100,18548100,11.5925625
HPG,319715050,159715050,99.82190625
GVR,83732980,-76267020,-47.6668875
MSN,142596830,-17403170,-10.87698125
VNM,156925020,-3074980,-1.9218625
SAB,136549030,-23450970,-14.65685625
VJC,157504800,-2495200,-1.5594999999999999
MWG,123247730,-36752270,-22.97016875
PLX,163512580,3512580,2.1953625
FPT,281325130,121325130,75.82820625
