Company,Profit During all period
SSI,139.119958125
BCM,2.85945625
VHM,-19.90439375
VIC,11.540290625
VRE,-8.09209375
BVH,-25.012243750000003
POW,-28.1458425
GAS,47.5814
ACB,12.529412500000001
BID,35.099706250000004
CTG,8.1426625
HDB,7.3541375
MBB,44.1869875
SSB,-17.877337500000003
SHB,81.485075
STB,79.192829375
TCB,3.8372499999999996
TPB,6.41618125
VCB,1.57548125
VIB,-2.72711875
VPB,40.51090625
HPG,61.10064375
GVR,-19.4615
MSN,9.64797625
VNM,-25.2942625
SAB,-10.113675
VJC,-11.464875
MWG,78.02894375
PLX,-9.3883875
FPT,59.65482375
