Company,Profit During all period
SSI,0.4340875
BCM,32.866465
VHM,-2.05485625
VIC,1.86631
VRE,5.78934375
BVH,-12.31753125
POW,17.017935
GAS,46.16190625
ACB,54.57970625
BID,91.32745
CTG,6.987075
HDB,80.2029
MBB,48.181087500000004
SSB,63.1600375
SHB,11.916875000000001
STB,-10.93640625
TCB,-0.3286625
TPB,34.5110625
VCB,18.87
VIB,-13.594068749999998
VPB,14.327300000000001
HPG,9.091275
GVR,-29.363612500000002
MSN,-19.921231249999998
VNM,-18.2614875
SAB,-11.5547875
VJC,-8.353
MWG,-8.584356249999999
PLX,-21.8341375
FPT,101.4622
