Company,Profit During all period
SSI,26.38780625
BCM,1.6990874999999999
VHM,-15.533612499999998
VIC,-14.894921250000001
VRE,-7.2170625
BVH,-5.9194875
POW,-9.8473275
GAS,69.04410625
ACB,17.6210125
BID,38.72465625
CTG,16.9048375
HDB,51.854887500000004
MBB,4.35195625
SSB,-5.790112499999999
SHB,-36.0283875
STB,6.127375
TCB,-29.50433125
TPB,-19.979875
VCB,59.54859999999999
VIB,1.81453125
VPB,38.214825000000005
HPG,-23.15550625
GVR,-46.154899375
MSN,-34.84816875
VNM,-20.25088125
SAB,-15.5724
VJC,2.473125
MWG,-17.31235625
PLX,-29.931675000000002
FPT,57.6950875
