Company,Profit During all period
SSI,40.55363125
BCM,0.87091875
VHM,-25.141987500000003
VIC,-21.36718125
VRE,-13.701437499999999
BVH,9.4290625
POW,-7.13064375
GAS,106.92984999999999
ACB,10.9745625
BID,48.799943750000004
CTG,60.0365875
HDB,16.974025
MBB,12.21593125
SSB,11.6144125
SHB,-32.47491875
STB,21.496125
TCB,-21.2667875
TPB,-0.42900000000000005
VCB,25.8126375
VIB,13.0968375
VPB,13.872993750000001
HPG,-19.16793125
GVR,-9.0847875
MSN,-32.99665625
VNM,3.3035625
SAB,11.0568375
VJC,6.2326875
MWG,37.50115
PLX,-14.901518750000001
FPT,34.13085625
