Company,Profit During all period
SSI,41.791325
BCM,-3.106
VHM,-8.61625
VIC,-2.181775
VRE,5.292
BVH,-0.1304625
POW,15.2692275
GAS,-0.06615625
ACB,3.1668000000000003
BID,40.230737500000004
CTG,14.9980375
HDB,51.29249375
MBB,7.299206249999999
SSB,0.00048125
SHB,-40.69848125
STB,-16.33746875
TCB,-33.5830875
TPB,-30.083399999999997
VCB,19.8691
VIB,-13.788800000000002
VPB,-1.39606875
HPG,-32.1983625
GVR,-37.0794
MSN,-39.290324999999996
VNM,-9.415381250000001
SAB,26.5729875
VJC,13.224625000000001
MWG,-11.109675
PLX,50.6193625
FPT,34.1941125
